InitialGene	Selection	GeneType	GeneID	Symbol Name	Input Gene ID	Gene Aliases
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850469	ADH7	ADH7	[ADHVII, YCR105W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850822	ACE2	ACE2	[YLR131C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851119	SFP1	SFP1	[YLR403W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851156	ECM30	ECM30	[YLR436C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851362	PHO13	PHO13	[YDL236W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851387	NRP1	NRP1	[YDL167C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851859	HEL2	HEL2	[RQT1, YDR266C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852018	SIZ1	SIZ1	[ULL1, YDR409W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852154	YDR541C	YDR541C	[]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852401	YMC2	YMC2	[YBR104W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852550	HIS7	HIS7	[YBR248C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852720	ARI1	ARI1	[YGL157W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852844	YGL039W	YGL039W	[]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852972	SLX9	SLX9	[YGR081C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853072	GTR2	GTR2	[YGR163W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853274	HAL5	HAL5	[YJL165C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	854193	CIN5	CIN5	[HAL6, YAP4, YOR028C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	854204	CKB2	CKB2	[YOR039W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	854439	RBL2	RBL2	[YOR265W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	855005	YAP1	YAP1	[PAR1, PDR4, SNQ3, YML007W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	855006	GIS4	GIS4	[YML006C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	855053	MSN2	MSN2	[YMR037C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855368	ADH6	ADH6	[ADHVI, YMR318C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	855417	TRF5	TRF5	[YNL299W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	855650	MLF3	MLF3	[YMK1, YNL074C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	856179	UBA3	UBA3	[YPR066W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	856375	PRS3	PRS3	[YHL011C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	856481	LRP1	LRP1	[RRP47, YHR081W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	856487	RTC3	RTC3	[HGI1, YHR087W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	856504	GRE3	GRE3	[YHR104W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	856883	EMP65	YER140W	[YER140W]
false	Cluster #1: IDs not found!	-	-	-	OPI7	-
