LeadingGOTerm	GOID	GOTerm	Ontology Source	Term PValue	Term PValue Corrected with Benjamini-Hochberg	Group PValue	Group PValue Corrected with Benjamini-Hochberg	GOLevels	GOGroups	% Associated Genes	Nr. Genes	Associated Genes Found
true	GO:0006892	post-Golgi vesicle-mediated transport	GO_BiologicalProcess-GOA_17.11.2016_10h53	0.003677795756287541	0.003809145604726382	0.003677795756287541	0.003677795756287541	[6]	Group0	5.1282053	4	[ARF1, BCH1, RCY1, VPS16]
false	GO:0006066	alcohol metabolic process	GO_BiologicalProcess-GOA_17.11.2016_10h53	0.0012186141967448565	0.001472492154400035	4.262817829606676E-6	6.394226744410013E-6	[4]	Group1	5.050505	5	[ADR1, ECM22, ERG5, SWI3, UPC2]
true	GO:0031667	response to nutrient levels	GO_BiologicalProcess-GOA_17.11.2016_10h53	2.3214973033731975E-7	5.61028514981856E-7	4.262817829606676E-6	6.394226744410013E-6	[4]	Group1	6.756757	10	[ADR1, CAT8, DAL81, ECM22, GAL4, GZF3, MSN4, PDR1, SWI3, UPC2]
false	GO:0045834	positive regulation of lipid metabolic process	GO_BiologicalProcess-GOA_17.11.2016_10h53	7.202902666188582E-4	9.49473533270313E-4	4.262817829606676E-6	6.394226744410013E-6	[3, 4, 5, 6]	Group1	13.636364	3	[ADR1, ECM22, UPC2]
false	GO:0006696	ergosterol biosynthetic process	GO_BiologicalProcess-GOA_17.11.2016_10h53	0.001813313806795923	0.002022542322964683	4.262817829606676E-6	6.394226744410013E-6	[5, 6, 7]	Group1	10.0	3	[ECM22, ERG5, UPC2]
false	GO:0001085	RNA polymerase II transcription factor binding	GO_MolecularFunction-GOA_17.11.2016_10h53	8.773283680122166E-4	0.001106196637928447	4.6934639373467034E-8	1.408039181204011E-7	[4]	Group2	7.5471697	4	[ADR1, GAL4, GZF3, SIN4]
false	GO:0031667	response to nutrient levels	GO_BiologicalProcess-GOA_17.11.2016_10h53	2.3214973033731975E-7	5.61028514981856E-7	4.6934639373467034E-8	1.408039181204011E-7	[4]	Group2	6.756757	10	[ADR1, CAT8, DAL81, ECM22, GAL4, GZF3, MSN4, PDR1, SWI3, UPC2]
false	GO:0031669	cellular response to nutrient levels	GO_BiologicalProcess-GOA_17.11.2016_10h53	1.2156365366586148E-5	1.958525531283324E-5	4.6934639373467034E-8	1.408039181204011E-7	[4, 5]	Group2	5.882353	8	[ADR1, CAT8, DAL81, GAL4, GZF3, MSN4, PDR1, SWI3]
true	GO:1901522	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	GO_BiologicalProcess-GOA_17.11.2016_10h53	1.634373291391677E-7	4.308802313668967E-7	4.6934639373467034E-8	1.408039181204011E-7	[4, 7, 8, 9, 10, 11, 12, 13]	Group2	13.461538	7	[ADR1, CAT8, GAL4, MSN4, PDR1, RPN4, SWI3]
false	GO:0000436	carbon catabolite activation of transcription from RNA polymerase II promoter	GO_BiologicalProcess-GOA_17.11.2016_10h53	7.069930605758413E-6	1.2060469856881998E-5	4.6934639373467034E-8	1.408039181204011E-7	[5, 7, 8, 9, 10, 11, 12, 13, 14]	Group2	14.705882	5	[ADR1, CAT8, GAL4, PDR1, SWI3]
