InitialGene	Selection	GeneType	GeneID	Symbol Name	Input Gene ID	Gene Aliases
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850519	BST1	BST1	[PER17, YFL025C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850574	FAB1	FAB1	[SVL7, YFR019W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850776	CSF1	CSF1	[YLR087C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850928	ECM22	ECM22	[YLR228C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850971	PDR8	PDR8	[YLR266C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851132	PUN1	PUN1	[YLR414C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851172	LEU3	LEU3	[YLR451W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851261	VPS8	VPS8	[FUN15, VPL8, VPT8, YAL002W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851335	ARF1	ARF1	[YDL192W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851366	OST4	OST4	[YDL232W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851542	RPN4	RPN4	[SON1, UFD5, YDL020C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851646	TPS2	TPS2	[HOG2, PFK3, YDR074W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851799	UPC2	UPC2	[MOX4, YDR213W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851802	ADR1	ADR1	[YDR216W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851889	HDA2	HDA2	[PLO2, YDR295C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852461	EXO5	EXO5	[DEM1, YBR163W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852489	RPL21A	RPL21A	[URP1, YBR191W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852493	AIM4	AIM4	[SOY1, YBR194W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852871	PDR1	PDR1	[AMY1, ANT1, BOR2, CYH3, NRA2, SMR2, TIL1, TPE1, TPE3, YGL013C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853226	RCY1	RCY1	[YJL204C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853264	SWI3	SWI3	[HAF2, TYE2, YJL176C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853334	GZF3	GZF3	[DEH1, NIL2, YJL110C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853803	MSN4	MSN4	[YKL062W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853854	PUT3	PUT3	[YKL015W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	854108	GSH2	GSH2	[YOL049W]
