NAME	ClusterOrigin	EntrezGeneID	Aliases	GeneType	Origin	Functions
ADR1	Cluster#1	851802	[YDR216W]	protein_coding	Initial Gene From Selection	transcriptional repressor activity, RNA polymerase II transcription factor binding | regulation of cellular ketone metabolic process | positive regulation of lipid metabolic process | positive regulation of cellular catabolic process | carbon catabolite activation of transcription from RNA polymerase II promoter
ARF1	Cluster#1	851335	[YDL192W]	protein_coding	Initial Gene From Selection	post-Golgi vesicle-mediated transport
BCH1	Cluster#1	855277	[YMR237W]	protein_coding	Initial Gene From Selection	post-Golgi vesicle-mediated transport
CAT8	Cluster#1	855323	[DIL1, MSP8, YMR280C]	protein_coding	Initial Gene From Selection	regulation of cellular ketone metabolic process | carbon catabolite activation of transcription from RNA polymerase II promoter | positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus
DAL81	Cluster#1	854841	[UGA35, YIR023W]	protein_coding	Initial Gene From Selection	positive regulation of cellular amino acid metabolic process | transcriptional repressor activity, RNA polymerase II transcription factor binding | regulation of cellular ketone metabolic process | positive regulation of cellular catabolic process
ECM22	Cluster#1	850928	[YLR228C]	protein_coding	Initial Gene From Selection	positive regulation of lipid metabolic process | ergosterol biosynthetic process | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding
ERG5	Cluster#1	855029	[CYP61, YMR015C]	protein_coding	Initial Gene From Selection	ergosterol biosynthetic process | alcohol metabolic process | transition metal ion binding
EXO5	Cluster#1	852461	[DEM1, YBR163W]	protein_coding	Initial Gene From Selection	DNA binding
GAL4	Cluster#1	855828	[GAL81, YPL248C]	protein_coding	Initial Gene From Selection	carbon catabolite activation of transcription from RNA polymerase II promoter | positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus | RNA polymerase II transcription factor binding
GZF3	Cluster#1	853334	[DEH1, NIL2, YJL110C]	protein_coding	Initial Gene From Selection	RNA polymerase II transcription factor binding | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding | transcription regulatory region sequence-specific DNA binding
HDA2	Cluster#1	851889	[PLO2, YDR295C]	protein_coding	Initial Gene From Selection	regulation of transcription from RNA polymerase II promoter | DNA binding
LEU3	Cluster#1	851172	[YLR451W]	protein_coding	Initial Gene From Selection	positive regulation of cellular amino acid metabolic process | regulation of cellular ketone metabolic process | cellular amine metabolic process
MSN4	Cluster#1	853803	[YKL062W]	protein_coding	Initial Gene From Selection	regulation of transcription from RNA polymerase II promoter in response to oxidative stress | positive regulation of transcription from RNA polymerase II promoter in response to stress | positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus
PDR1	Cluster#1	852871	[AMY1, ANT1, BOR2, CYH3, NRA2, SMR2, TIL1, TPE1, TPE3, YGL013C]	protein_coding	Initial Gene From Selection	carbon catabolite activation of transcription from RNA polymerase II promoter | positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding
PDR8	Cluster#1	850971	[YLR266C]	protein_coding	Initial Gene From Selection	positive regulation of transcription from RNA polymerase II promoter in response to stress | regulation of transcription from RNA polymerase II promoter in response to stress | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding
PUT3	Cluster#1	853854	[YKL015W]	protein_coding	Initial Gene From Selection	positive regulation of cellular amino acid metabolic process | regulation of cellular ketone metabolic process | positive regulation of cellular catabolic process
RCY1	Cluster#1	853226	[YJL204C]	protein_coding	Initial Gene From Selection	post-Golgi vesicle-mediated transport
RDR1	Cluster#1	854562	[YOR380W]	protein_coding	Initial Gene From Selection	RNA polymerase II transcription factor activity, sequence-specific DNA binding | transition metal ion binding | regulation of transcription from RNA polymerase II promoter
RPN4	Cluster#1	851542	[SON1, UFD5, YDL020C]	protein_coding	Initial Gene From Selection	positive regulation of cellular catabolic process | positive regulation of transcription from RNA polymerase II promoter in response to stress | positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus
SIN3	Cluster#1	854158	[CPE1, GAM2, RPD1, SDI1, SDS16, UME4, YOL004W]	protein_coding	Initial Gene From Selection	transcriptional repressor activity, RNA polymerase II transcription factor binding | positive regulation of transcription from RNA polymerase II promoter in response to stress | cellular response to heat
SIN4	Cluster#1	855485	[BEL2, GAL22, MED16, RYE1, SDI3, SSF5, SSN4, SSX3, TSF3, YNL236W]	protein_coding	Initial Gene From Selection	RNA polymerase II transcription factor binding | positive regulation of transcription from RNA polymerase II promoter | regulation of transcription from RNA polymerase II promoter
SPO22	Cluster#1	854737	[YIL073C, ZIP4]	protein_coding	Initial Gene From Selection	positive regulation of macromolecule metabolic process
STB5	Cluster#1	856583	[YHR178W]	protein_coding	Initial Gene From Selection	regulation of transcription from RNA polymerase II promoter in response to oxidative stress | regulation of transcription from RNA polymerase II promoter in response to stress | RNA polymerase II transcription factor activity, sequence-specific DNA binding
SWI3	Cluster#1	853264	[HAF2, TYE2, YJL176C]	protein_coding	Initial Gene From Selection	carbon catabolite activation of transcription from RNA polymerase II promoter | positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus | alcohol metabolic process
TOP1	Cluster#1	854156	[MAK1, MAK17, YOL006C]	protein_coding	Initial Gene From Selection	regulation of transcription from RNA polymerase II promoter | DNA binding
TPS2	Cluster#1	851646	[HOG2, PFK3, YDR074W]	protein_coding	Initial Gene From Selection	cellular response to heat | response to heat
UPC2	Cluster#1	851799	[MOX4, YDR213W]	protein_coding	Initial Gene From Selection	positive regulation of lipid metabolic process | ergosterol biosynthetic process | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding
VPS16	Cluster#1	856062	[CVT15, SVL6, VAM9, VPT16, YPL045W]	protein_coding	Initial Gene From Selection	post-Golgi vesicle-mediated transport
VPS8	Cluster#1	851261	[FUN15, VPL8, VPT8, YAL002W]	protein_coding	Initial Gene From Selection	transition metal ion binding
WAR1	Cluster#1	854899	[YML076C]	protein_coding	Initial Gene From Selection	organic acid catabolic process | RNA polymerase II transcription factor activity, sequence-specific DNA binding | sequence-specific DNA binding
WHI2	Cluster#1	854208	[YOR043W]	protein_coding	Initial Gene From Selection	response to heat
YAP1	Cluster#1	855005	[PAR1, PDR4, SNQ3, YML007W]	protein_coding	Initial Gene From Selection	regulation of transcription from RNA polymerase II promoter in response to oxidative stress | regulation of transcription from RNA polymerase II promoter in response to stress | response to heat
YRM1	Cluster#1	854343	[YOR172W]	protein_coding	Initial Gene From Selection	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding | transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding | transcription regulatory region sequence-specific DNA binding
YRR1	Cluster#1	854333	[PDR2, YOR162C]	protein_coding	Initial Gene From Selection	regulation of transcription from RNA polymerase II promoter in response to oxidative stress | regulation of transcription from RNA polymerase II promoter in response to stress | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding
