NAME	carbon catabolite activation of transcription from RNA polymerase II promoter	transcription regulatory region sequence-specific DNA binding	RNA polymerase II transcription factor activity, sequence-specific DNA binding	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	RNA polymerase II transcription factor binding	transcriptional repressor activity, RNA polymerase II transcription factor binding	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	DNA binding	alcohol metabolic process	regulation of transcription from RNA polymerase II promoter	ergosterol biosynthetic process	post-Golgi vesicle-mediated transport	response to heat	regulation of cellular ketone metabolic process	positive regulation of macromolecule metabolic process	organic acid catabolic process	positive regulation of cellular catabolic process	response to nutrient levels	cellular response to nutrient levels	cellular response to heat	positive regulation of transcription from RNA polymerase II promoter in response to stress	sequence-specific DNA binding	regulation of transcription from RNA polymerase II promoter in response to stress	regulation of transcription from RNA polymerase II promoter in response to oxidative stress	cellular amine metabolic process	positive regulation of cellular amino acid metabolic process	positive regulation of lipid metabolic process	positive regulation of transcription from RNA polymerase II promoter	transition metal ion binding	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus
carbon catabolite activation of transcription from RNA polymerase II promoter	1.0	0.2946058091286307	0.15282392026578073	0.2946058091286307	0.3609022556390975	0.1570247933884295	0.1834061135371177	0.13404825737265413	0.29655172413793074	0.13404825737265413	-0.12396694214876064	-0.15037593984962452	-0.17241379310344881	0.29655172413793074	0.2153846153846154	0.29655172413793074	0.10526315789473653	0.5853658536585367	0.7182320441988951	-0.12396694214876064	-0.15037593984962452	0.23018867924528313	-0.20710059171597653	-0.15037593984962452	-0.12396694214876064	-0.12396694214876064	0.1570247933884295	0.23961661341853036	0.05882352941176472	0.7988165680473374
transcription regulatory region sequence-specific DNA binding	0.2946058091286307	1.0	0.7098976109215016	0.8754578754578755	0.2109704641350211	-0.021459227467811495	0.8104089219330857	0.4100946372239748	0.15352697095435683	0.4100946372239748	0.12446351931330447	-0.21940928270042206	-0.128630705394191	0.15352697095435683	0.6046511627906975	0.15352697095435683	0.2109704641350211	0.5440613026819924	0.3952569169960476	-0.021459227467811495	0.2109704641350211	0.8790035587188612	0.18072289156626503	0.0675105485232067	-0.021459227467811495	-0.021459227467811495	0.27038626609442046	0.6565656565656565	0.4117647058823528	0.45381526104417674
RNA polymerase II transcription factor activity, sequence-specific DNA binding	0.15282392026578073	0.7098976109215016	1.0	0.7098976109215016	0.0993377483443709	0.04620462046204627	0.6530612244897959	0.6382978723404253	0.039867109634551465	0.6382978723404253	0.04620462046204627	-0.23841059602649	-0.18604651162790695	0.26578073089701	0.6433566433566433	0.26578073089701	0.21192052980132456	0.42567567567567555	0.31543624161073813	-0.06600660066006596	0.0993377483443709	0.7079037800687284	0.1471571906354516	0.0993377483443709	0.1584158415841585	0.1584158415841585	0.1584158415841585	0.7038327526132403	0.7058823529411764	0.2608695652173913
transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	0.2946058091286307	0.8754578754578755	0.7098976109215016	1.0	0.0675105485232067	-0.021459227467811495	0.8104089219330857	0.4100946372239748	0.15352697095435683	0.4100946372239748	0.12446351931330447	-0.21940928270042206	-0.128630705394191	0.2946058091286307	0.6046511627906975	0.15352697095435683	0.2109704641350211	0.41379310344827586	0.26086956521739146	-0.021459227467811495	0.2109704641350211	0.7580071174377224	0.18072289156626503	0.0675105485232067	0.12446351931330447	0.12446351931330447	0.27038626609442046	0.6565656565656565	0.4117647058823528	0.45381526104417674
RNA polymerase II transcription factor binding	0.3609022556390975	0.2109704641350211	0.0993377483443709	0.0675105485232067	1.0	0.20560747663551363	0.0892857142857145	0.015789473684210596	0.10526315789473653	0.10526315789473684	-0.11214953271028093	-0.1333333333333332	-0.15037593984962452	0.10526315789473653	0.17073170731707324	0.10526315789473653	0.1500000000000001	0.31313131313131337	0.40697674418604657	-0.11214953271028093	-0.1333333333333332	0.1596958174904943	-0.17610062893081796	-0.1333333333333332	-0.11214953271028093	-0.11214953271028093	0.20560747663551363	0.19047619047619052	0.0	0.2515723270440251
transcriptional repressor activity, RNA polymerase II transcription factor binding	0.1570247933884295	-0.021459227467811495	0.04620462046204627	-0.021459227467811495	0.20560747663551363	1.0	-0.16438356164383583	0.0775193798449612	0.1570247933884295	0.0775193798449612	-0.09677419354838643	-0.11214953271028093	0.1570247933884295	0.43801652892561965	0.1268882175226586	0.43801652892561965	0.5233644859813081	0.19895287958115188	0.2699386503067484	0.2688172043010757	0.20560747663551363	-0.042145593869731705	0.08724832214765067	-0.11214953271028093	0.2688172043010757	0.2688172043010757	0.2688172043010757	0.14195583596214506	-0.05882352941176472	0.08724832214765067
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	0.1834061135371177	0.8104089219330857	0.6530612244897959	0.8104089219330857	0.0892857142857145	-0.16438356164383583	1.0	0.37037037037037035	0.03493449781659359	0.37037037037037035	0.14611872146118715	-0.2142857142857141	-0.2620087336244546	0.1834061135371177	0.5526315789473683	0.03493449781659359	0.0892857142857145	0.33070866141732286	0.16393442622950832	-0.16438356164383583	0.0892857142857145	0.6953405017921148	0.07531380753138059	-0.062499999999999806	0.14611872146118715	0.14611872146118715	0.14611872146118715	0.6020066889632109	0.5882352941176472	0.21757322175732208
DNA binding	0.13404825737265413	0.4100946372239748	0.6382978723404253	0.4100946372239748	0.015789473684210596	0.0775193798449612	0.37037037037037035	1.0	0.042895442359249296	0.8583333333333333	-0.010335917312661575	-0.2526315789473685	-0.04825737265415546	0.13404825737265413	0.4925373134328357	0.13404825737265413	0.10526315789473684	0.2958579881656805	0.2272727272727273	-0.010335917312661575	0.10526315789473684	0.4950495049504952	0.1949860724233983	0.10526315789473684	0.0775193798449612	0.0775193798449612	0.0775193798449612	0.5672727272727274	0.3529411764705883	0.1949860724233983
alcohol metabolic process	0.29655172413793074	0.15352697095435683	0.039867109634551465	0.15352697095435683	0.10526315789473653	0.1570247933884295	0.03493449781659359	0.042895442359249296	1.0	0.042895442359249296	0.7190082644628099	-0.15037593984962452	-0.17241379310344881	0.06206896551724104	0.11076923076923077	0.06206896551724104	0.10526315789473653	0.4195121951219512	0.15469613259668502	-0.12396694214876064	-0.15037593984962452	0.10188679245283007	-0.20710059171597653	-0.15037593984962452	-0.12396694214876064	-0.12396694214876064	0.7190082644628099	0.1309904153354632	0.05882352941176472	0.1952662721893491
regulation of transcription from RNA polymerase II promoter	0.13404825737265413	0.4100946372239748	0.6382978723404253	0.4100946372239748	0.10526315789473684	0.0775193798449612	0.37037037037037035	0.8583333333333333	0.042895442359249296	1.0	-0.010335917312661575	-0.2526315789473685	-0.04825737265415546	0.13404825737265413	0.6194029850746268	0.13404825737265413	0.10526315789473684	0.2958579881656805	0.2272727272727273	-0.010335917312661575	0.10526315789473684	0.4950495049504952	0.1949860724233983	0.10526315789473684	0.0775193798449612	0.0775193798449612	0.0775193798449612	0.690909090909091	0.3529411764705883	0.1949860724233983
