InitialGene	Selection	GeneType	GeneID	Symbol Name	Input Gene ID	Gene Aliases
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850497	RGD2	RGD2	[YFL047W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850536	HXT10	HXT10	[YFL011W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850551	LOC1	LOC1	[YFR001W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850701	PPR1	PPR1	[YLR014C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850703	PML1	PML1	[YLR016C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850745	ERG3	ERG3	[PSO6, SYR1, YLR056W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850750	RPL22A	RPL22A	[YLR061W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851065	NIT3	NIT3	[YLR351C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851073	ADE13	ADE13	[BRA1, BRA8, YLR359W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851151	ATG23	ATG23	[CVT23, YLR431C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851169	RPL6B	RPL6B	[YLR448W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851171	HMG2	HMG2	[YLR450W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851175	FMP27	FMP27	[YLR454W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851272	ADE1	ADE1	[YAR015W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851289	FLO1	FLO1	[FLO2, FLO4, YAR050W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851340	YDL186W	YDL186W	[]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851362	PHO13	PHO13	[YDL236W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851364	GYP7	GYP7	[YDL234C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851367	BRE4	BRE4	[YDL231C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851383	GLT1	GLT1	[YDL171C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851385	UGX2	UGX2	[YDL169C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851395	YDL159W-A	YDL159W-A	[YDL159W-B]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851482	VAM6	VAM6	[CVT4, VPL18, VPL22, VPS39, YDL077C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851550	YDL012C	YDL012C	[]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851562	NHP10	NHP10	[HMO2, YDL002C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851581	YDR018C	YDR018C	[]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851582	GCV1	GCV1	[GSD1, YDR019C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851590	NSI1	YDR026C	[YDR026C, YTT1]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851639	OCA6	OCA6	[YDR067C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851699	DPB4	DPB4	[YDR121W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851700	KIN1	KIN1	[YDR122W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851702	YDR124W	YDR124W	[]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851706	MTC5	MTC5	[SEA3, YDR128W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851734	RPA14	RPA14	[YDR156W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851819	RTN1	RTN1	[YDR233C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851831	PEX5	PEX5	[PAS10, YDR244W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852002	SHE9	SHE9	[MDM33, YDR393W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852107	PUF6	PUF6	[YDR496C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852143	APA2	APA2	[YDR530C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852290	RCR1	RCR1	[SSH6, YBR005W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852308	GAL1	GAL1	[YBR020W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852311	CHS3	CHS3	[CAL1, CSD2, DIT101, KTI2, YBR023C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852331	QDR3	QDR3	[AQR2, YBR043C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852337	RPS11B	RPS11B	[YBR048W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852379	RPL19A	RPL19A	[YBR084C-A]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852412	LYS2	LYS2	[YBR115C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852550	HIS7	HIS7	[YBR248C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852557	MTC4	MTC4	[YBR255W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852609	YGL242C	YGL242C	[]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852635	MNT2	MNT2	[YGL257C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852659	SKI8	SKI8	[REC103, YGL213C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852667	POX1	POX1	[FOX1, YGL205W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852680	GCN1	GCN1	[AAS103, NDR1, YGL195W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852717	YGL159W	YGL159W	[]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852726	NUT1	NUT1	[MED5, SSX4, YGL151W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852741	MRM2	MRM2	[YGL136C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852751	SCS3	SCS3	[FIT2B, YGL126W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852790	LIF1	LIF1	[YGL090W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852799	YGL081W	YGL081W	[]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852800	MPC1	FMP37	[FMP37, YGL080W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852802	DBP3	DBP3	[YGL078C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852817	PUS2	PUS2	[YGL063W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852870	PUF4	PUF4	[YGL014W, YGL023]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852874	MPO1	YGL010W	[YGL010W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852875	LEU1	LEU1	[YGL009C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852880	RPN14	RPN14	[YGL004C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852886	CUL3	CUL3	[YGR003W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852890	ECT1	ECT1	[MUQ1, YGR007W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852920	GSC2	GSC2	[FKS2, YGR032W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852940	SCM4	SCM4	[YGR049W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852952	ADE6	ADE6	[YGR061C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852971	TWF1	TWF1	[YGR080W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852976	RPL11B	RPL11B	[YGR085C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852989	ASK10	ASK10	[RGC2, YGR097W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852993	PCP1	PCP1	[MDM37, RBD1, UGO2, YGR101W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853026	YGR125W	YGR125W	[]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853052	GPC1	YGR149W	[YGR149W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853123	TRX2	TRX2	[LMA1, YGR209C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853128	RPS0A	RPS0A	[NAB1, NAB1A, YGR214W, YST1]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853214	IMA5	IMA5	[YJL216C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853247	SOP4	SOP4	[EMC7, YJL192C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853274	HAL5	HAL5	[YJL165C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853374	ARG2	ARG2	[HRB574, YJL071W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853545	ACF4	ACF4	[YJR083C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853557	RPL43B	RPL43B	[YJR094W-A]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853574	YMR1	YMR1	[YJR110W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853602	MET5	MET5	[ECM17, YJR137C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853605	HIR3	HIR3	[HPC1, YJR140C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853643	DPH2	DPH2	[YKL191W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853707	MCR1	MCR1	[YKL150W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853761	YPF1	YPF1	[YKL100C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853800	YET1	YET1	[YKL065C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853854	PUT3	PUT3	[YKL015W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853864	RPL14A	RPL14A	[YKL006W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853869	MET14	MET14	[YKL001C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853967	SRP40	SRP40	[YKR092C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	854046	WSC3	WSC3	[YOL105C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	854128	YOL029C	YOL029C	[]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854193	CIN5	CIN5	[HAL6, YAP4, YOR028C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854208	WHI2	WHI2	[YOR043W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	854217	TMC1	YOR052C	[YOR052C, YOR29-03]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	854425	TUM1	TUM1	[YOR251C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	854429	OSW1	OSW1	[YOR255W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854470	UAF30	UAF30	[YOR295W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	854485	SNU66	SNU66	[YOR308C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	854490	SPS4	SPS4	[YOR313C]
