NAME	response to reactive oxygen species	core promoter proximal region sequence-specific DNA binding	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	cytoplasmic translation	ribosome	IMP biosynthetic process	translation	response to salt stress	small ribosomal subunit	cellular response to oxidative stress	TORC1 signaling	hyperosmotic salinity response	cellular amide metabolic process	amide biosynthetic process	cytosolic part	cellular response to hydrogen peroxide	organonitrogen compound metabolic process	organonitrogen compound biosynthetic process	positive regulation of TORC1 signaling
response to reactive oxygen species	1.0	0.08333333333333366	-0.07142857142857272	-0.09285714285714272	3.9968028886505617E-16	-0.058823529411764955	-0.022727272727272825	0.1428571428571426	-0.0800000000000004	0.5833333333333337	-0.04999999999999898	0.2058823529411763	-0.03571428571428588	-0.026315789473684004	0.012195121951219566	0.8499999999999996	-0.07522123893805312	-0.06451612903225806	-0.04999999999999898
core promoter proximal region sequence-specific DNA binding	0.08333333333333366	1.0	0.7777777777777781	-0.1733333333333331	-0.2	-0.083333333333333	-0.21904761904761924	0.1851851851851856	-0.13333333333333278	-0.015873015873016323	-0.0666666666666672	0.25000000000000033	-0.23076923076923078	-0.22222222222222196	-0.19047619047619058	0.11111111111111072	-0.1458333333333334	-0.16049382716049385	-0.0666666666666672
transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	-0.07142857142857272	0.7777777777777781	1.0	-0.1287128712871291	-0.14285714285714313	-0.07142857142857272	-0.15231788079470185	0.09090909090909124	-0.10526315789473807	-0.11111111111111065	-0.05882352941176448	0.1428571428571426	-0.15789473684210525	-0.1538461538461543	-0.13793103448275837	-0.05882352941176448	-0.05405405405405406	-0.07317073170731701	-0.05882352941176448
cytoplasmic translation	-0.09285714285714272	-0.1733333333333331	-0.1287128712871291	1.0	0.7142857142857143	-0.09285714285714272	0.6389167502507523	-0.1287128712871291	0.3926380368098162	-0.1733333333333331	-0.07262569832402227	-0.09285714285714272	0.5371900826446281	0.6117647058823529	0.7846889952153108	-0.07262569832402227	0.15625	0.27196652719665276	-0.07262569832402227
ribosome	3.9968028886505617E-16	-0.2	-0.14285714285714313	0.7142857142857143	1.0	-0.0999999999999996	0.7627118644067795	-0.14285714285714313	0.5454545454545456	-0.11111111111111142	-0.07692307692307664	-0.0999999999999996	0.650793650793651	0.7333333333333332	0.8461538461538464	0.025641025641025546	0.1818181818181818	0.3333333333333332	-0.07692307692307664
IMP biosynthetic process	-0.058823529411764955	-0.083333333333333	-0.07142857142857272	-0.09285714285714272	-0.0999999999999996	1.0	-0.10454545454545469	-0.07142857142857272	-0.0800000000000004	-0.083333333333333	-0.04999999999999898	-0.058823529411764955	-0.10714285714285735	-0.10526315789473667	-0.09756097560975609	-0.04999999999999898	0.04424778761061951	0.08064516129032255	-0.04999999999999898
translation	-0.022727272727272825	-0.21904761904761924	-0.15231788079470185	0.6389167502507523	0.7627118644067795	-0.10454545454545469	1.0	-0.15231788079470185	0.42060085836909883	-0.1428571428571433	-0.07958477508650512	-0.10454545454545469	0.8778625954198472	0.9684210526315788	0.6177606177606177	0.003460207612456514	0.3058510638297872	0.5021834061135373	-0.07958477508650512
response to salt stress	0.1428571428571426	0.1851851851851856	0.09090909090909124	-0.1287128712871291	-0.14285714285714313	-0.07142857142857272	-0.15231788079470185	1.0	-0.10526315789473807	0.0370370370370369	-0.05882352941176448	0.7857142857142857	-0.15789473684210525	-0.1538461538461543	-0.13793103448275837	0.17647058823529424	-0.13513513513513514	-0.12195121951219508	-0.05882352941176448
small ribosomal subunit	-0.0800000000000004	-0.13333333333333278	-0.10526315789473807	0.3926380368098162	0.5454545454545456	-0.0800000000000004	0.42060085836909883	-0.10526315789473807	1.0	-0.13333333333333278	-0.06451612903225754	-0.0800000000000004	0.3448275862068967	0.39999999999999986	0.4130434782608698	-0.06451612903225754	0.09174311926605498	0.16393442622950832	-0.06451612903225754
cellular response to oxidative stress	0.5833333333333337	-0.015873015873016323	-0.11111111111111065	-0.1733333333333331	-0.11111111111111142	-0.083333333333333	-0.1428571428571433	0.0370370370370369	-0.13333333333333278	1.0	-0.0666666666666672	0.08333333333333366	-0.09401709401709396	-0.14814814814814822	-0.09523809523809526	0.46666666666666606	-0.18750000000000008	-0.20987654320987648	-0.0666666666666672
