InitialGene	Selection	GeneType	GeneID	Symbol Name	Input Gene ID	Gene Aliases
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851073	ADE13	ADE13	[BRA1, BRA8, YLR359W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851238	BDH2	BDH2	[YAL061W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851272	ADE1	ADE1	[YAR015W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851802	ADR1	ADR1	[YDR216W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852033	CAD1	CAD1	[YAP2, YDR423C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852038	BNA7	BNA7	[YDR428C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852480	SMP1	SMP1	[YBR182C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853088	ATF2	ATF2	[YGR177C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	854559	ATF1	ATF1	[YOR377W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855005	YAP1	YAP1	[PAR1, PDR4, SNQ3, YML007W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855053	MSN2	MSN2	[YMR037C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855149	ADE17	ADE17	[YMR120C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855704	CRZ1	CRZ1	[HAL8, TCN1, YNL027W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	856804	ALD5	ALD5	[YER073W]
