InitialGene	Selection	GeneType	GeneID	Symbol Name	Input Gene ID	Gene Aliases
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850774	ARP6	ARP6	[YLR085C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850945	MAP1	MAP1	[YLR244C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850965	VPS63	VPS63	[YLR261C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850971	PDR8	PDR8	[YLR266C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851542	RPN4	RPN4	[SON1, UFD5, YDL020C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851756	NGG1	NGG1	[ADA3, SWI7, YDR176W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851887	SSD1	SSD1	[CLA1, MCS1, RLT1, SRK1, YDR293C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852370	ECM33	ECM33	[YBR078W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852373	SPT7	SPT7	[GIT2, YBR081C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852489	RPL21A	RPL21A	[URP1, YBR191W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852666	CHC1	CHC1	[SWA5, YGL206C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852683	IME4	IME4	[SPO8, YGL192W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852871	PDR1	PDR1	[AMY1, ANT1, BOR2, CYH3, NRA2, SMR2, TIL1, TPE1, TPE3, YGL013C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853334	GZF3	GZF3	[DEH1, NIL2, YJL110C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853659	MCH2	MCH2	[YKL221W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853668	SAC1	SAC1	[RSD1, YKL212W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853854	PUT3	PUT3	[YKL015W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853870	VPS1	VPS1	[GRD1, LAM1, SPO15, VPL1, VPT26, YKR001C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854150	HTZ1	HTZ1	[HTA3, YOL012C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854333	YRR1	YRR1	[PDR2, YOR162C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854343	YRM1	YRM1	[YOR172W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854562	RDR1	RDR1	[YOR380W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854899	WAR1	WAR1	[YML076C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	854925	VAN1	VAN1	[LDB13, VRG7, VRG8, YML115C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855005	YAP1	YAP1	[PAR1, PDR4, SNQ3, YML007W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855029	ERG5	ERG5	[CYP61, YMR015C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855048	HOF1	HOF1	[CYK2, YMR032W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	855238	CIK1	CIK1	[YMR198W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855315	SCS7	SCS7	[FAH1, YMR272C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855323	CAT8	CAT8	[DIL1, MSP8, YMR280C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855640	END3	END3	[YNL084C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855828	GAL4	GAL4	[GAL81, YPL248C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	856040	VPS28	VPS28	[VPL13, VPT28, YPL065W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	856062	VPS16	VPS16	[CVT15, SVL6, VAM9, VPT16, YPL045W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	856289	GPH1	GPH1	[YPR160W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	856358	RIM101	RIM101	[RIM1, YHL027W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	856583	STB5	STB5	[YHR178W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	856659	VMA8	VMA8	[YEL051W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	856737	AFG3	AFG3	[YER017C, YTA10]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	856748	CHO1	CHO1	[PSS1, YER026C]
false	Cluster #1: IDs not found!	-	-	-	BUD28	-
false	Cluster #1: IDs not found!	-	-	-	VFH1	-
