NAME	ClusterOrigin	EntrezGeneID	Aliases	GeneType	Origin	Functions
AFG3	Cluster#1	856737	[YER017C, YTA10]	protein_coding	Initial Gene From Selection	zinc ion binding | transition metal ion binding
CAT8	Cluster#1	855323	[DIL1, MSP8, YMR280C]	protein_coding	Initial Gene From Selection	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus | cellular response to nutrient | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding
END3	Cluster#1	855640	[YNL084C]	protein_coding	Initial Gene From Selection	cortical actin cytoskeleton
ERG5	Cluster#1	855029	[CYP61, YMR015C]	protein_coding	Initial Gene From Selection	transition metal ion binding
GAL4	Cluster#1	855828	[GAL81, YPL248C]	protein_coding	Initial Gene From Selection	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus | cellular response to nutrient | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding
GZF3	Cluster#1	853334	[DEH1, NIL2, YJL110C]	protein_coding	Initial Gene From Selection	cellular response to nutrient | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding | RNA polymerase II regulatory region sequence-specific DNA binding
HOF1	Cluster#1	855048	[CYK2, YMR032W]	protein_coding	Initial Gene From Selection	cortical actin cytoskeleton
HTZ1	Cluster#1	854150	[HTA3, YOL012C]	protein_coding	Initial Gene From Selection	RNA polymerase II regulatory region sequence-specific DNA binding | sequence-specific DNA binding
PDR1	Cluster#1	852871	[AMY1, ANT1, BOR2, CYH3, NRA2, SMR2, TIL1, TPE1, TPE3, YGL013C]	protein_coding	Initial Gene From Selection	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus | cellular response to nutrient | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding
PDR8	Cluster#1	850971	[YLR266C]	protein_coding	Initial Gene From Selection	regulation of transcription from RNA polymerase II promoter in response to stress | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding | transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding
PUT3	Cluster#1	853854	[YKL015W]	protein_coding	Initial Gene From Selection	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding | transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding | RNA polymerase II regulatory region sequence-specific DNA binding
RDR1	Cluster#1	854562	[YOR380W]	protein_coding	Initial Gene From Selection	RNA polymerase II transcription factor activity, sequence-specific DNA binding | zinc ion binding | transition metal ion binding
RIM101	Cluster#1	856358	[RIM1, YHL027W]	protein_coding	Initial Gene From Selection	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding | RNA polymerase II transcription factor activity, sequence-specific DNA binding
RPN4	Cluster#1	851542	[SON1, UFD5, YDL020C]	protein_coding	Initial Gene From Selection	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus | regulation of transcription from RNA polymerase II promoter in response to stress | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding
SCS7	Cluster#1	855315	[FAH1, YMR272C]	protein_coding	Initial Gene From Selection	transition metal ion binding
STB5	Cluster#1	856583	[YHR178W]	protein_coding	Initial Gene From Selection	regulation of transcription from RNA polymerase II promoter in response to oxidative stress | regulation of transcription from RNA polymerase II promoter in response to stress | RNA polymerase II transcription factor activity, sequence-specific DNA binding
VPS1	Cluster#1	853870	[GRD1, LAM1, SPO15, VPL1, VPT26, YKR001C]	protein_coding	Initial Gene From Selection	cortical actin cytoskeleton
WAR1	Cluster#1	854899	[YML076C]	protein_coding	Initial Gene From Selection	RNA polymerase II transcription factor activity, sequence-specific DNA binding | sequence-specific DNA binding | zinc ion binding
YAP1	Cluster#1	855005	[PAR1, PDR4, SNQ3, YML007W]	protein_coding	Initial Gene From Selection	regulation of transcription from RNA polymerase II promoter in response to oxidative stress | regulation of transcription from RNA polymerase II promoter in response to stress | sequence-specific DNA binding
YRM1	Cluster#1	854343	[YOR172W]	protein_coding	Initial Gene From Selection	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding | transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding | RNA polymerase II regulatory region sequence-specific DNA binding
YRR1	Cluster#1	854333	[PDR2, YOR162C]	protein_coding	Initial Gene From Selection	regulation of transcription from RNA polymerase II promoter in response to oxidative stress | regulation of transcription from RNA polymerase II promoter in response to stress | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding
