NAME	RNA polymerase II regulatory region sequence-specific DNA binding	RNA polymerase II transcription factor activity, sequence-specific DNA binding	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	zinc ion binding	cortical actin cytoskeleton	cellular response to nutrient	sequence-specific DNA binding	regulation of transcription from RNA polymerase II promoter in response to stress	regulation of transcription from RNA polymerase II promoter in response to oxidative stress	transition metal ion binding	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus
RNA polymerase II regulatory region sequence-specific DNA binding	1.0	0.5291479820627802	0.7123287671232876	0.9041095890410957	0.43243243243243235	-0.2816901408450702	0.4112149532710281	0.8108108108108106	0.12093023255813957	-0.08450704225352097	0.25000000000000017	0.4112149532710281
RNA polymerase II transcription factor activity, sequence-specific DNA binding	0.5291479820627802	1.0	0.6315789473684211	0.6315789473684211	0.7042253521126762	-0.3023255813953489	0.2529644268774703	0.5070422535211266	0.1532258064516128	0.023255813953488302	0.48275862068965497	0.2529644268774703
transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	0.7123287671232876	0.6315789473684211	1.0	0.8055555555555556	0.3466666666666666	-0.27272727272727265	0.2686567164179107	0.5333333333333332	0.1764705882352943	-0.06060606060606066	0.1818181818181818	0.47761194029850745
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	0.9041095890410957	0.6315789473684211	0.8055555555555556	1.0	0.5333333333333332	-0.27272727272727265	0.47761194029850745	0.7199999999999999	0.1764705882352943	-0.06060606060606066	0.3636363636363636	0.47761194029850745
zinc ion binding	0.43243243243243235	0.7042253521126762	0.3466666666666666	0.5333333333333332	1.0	-0.29629629629629617	0.3000000000000001	0.4166666666666666	0.02531645569620256	0.04938271604938277	0.7999999999999998	0.12499999999999992
cortical actin cytoskeleton	-0.2816901408450702	-0.3023255813953489	-0.27272727272727265	-0.27272727272727265	-0.29629629629629617	1.0	-0.19512195121951242	-0.29629629629629617	-0.2173913043478264	-0.16666666666666743	-0.30769230769230765	-0.19512195121951242
cellular response to nutrient	0.4112149532710281	0.2529644268774703	0.2686567164179107	0.47761194029850745	0.3000000000000001	-0.19512195121951242	1.0	0.3000000000000001	-0.26845637583892623	-0.19512195121951242	0.21052631578947356	0.691176470588235
sequence-specific DNA binding	0.8108108108108106	0.5070422535211266	0.5333333333333332	0.7199999999999999	0.4166666666666666	-0.29629629629629617	0.3000000000000001	1.0	0.20253164556962025	0.04938271604938277	0.20000000000000018	0.3000000000000001
regulation of transcription from RNA polymerase II promoter in response to stress	0.12093023255813957	0.1532258064516128	0.1764705882352943	0.1764705882352943	0.02531645569620256	-0.2173913043478264	-0.26845637583892623	0.20253164556962025	1.0	0.6956521739130431	-0.05405405405405405	0.013422818791946543
regulation of transcription from RNA polymerase II promoter in response to oxidative stress	-0.08450704225352097	0.023255813953488302	-0.06060606060606066	-0.06060606060606066	0.04938271604938277	-0.16666666666666743	-0.19512195121951242	0.04938271604938277	0.6956521739130431	1.0	0.0	-0.19512195121951242
transition metal ion binding	0.25000000000000017	0.48275862068965497	0.1818181818181818	0.3636363636363636	0.7999999999999998	-0.30769230769230765	0.21052631578947356	0.20000000000000018	-0.05405405405405405	0.0	1.0	0.05263157894736833
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	0.4112149532710281	0.2529644268774703	0.47761194029850745	0.47761194029850745	0.12499999999999992	-0.19512195121951242	0.691176470588235	0.3000000000000001	0.013422818791946543	-0.19512195121951242	0.05263157894736833	1.0
