InitialGene	Selection	GeneType	GeneID	Symbol Name	Input Gene ID	Gene Aliases
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850366	SAT4	SAT4	[HAL4, YCR008W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851063	DIC1	DIC1	[YLR348C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851362	PHO13	PHO13	[YDL236W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852550	HIS7	HIS7	[YBR248C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853274	HAL5	HAL5	[YJL165C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853344	GSH1	GSH1	[YJL101C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	854193	CIN5	CIN5	[HAL6, YAP4, YOR028C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855005	YAP1	YAP1	[PAR1, PDR4, SNQ3, YML007W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855053	MSN2	MSN2	[YMR037C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	855368	ADH6	ADH6	[ADHVI, YMR318C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855480	ZWF1	ZWF1	[MET19, POS10, YNL241C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	855691	IDH1	IDH1	[YNL037C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	856014	GLR1	GLR1	[LPG17, YPL091W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	856375	PRS3	PRS3	[YHL011C]
