LeadingGOTerm	GOID	GOTerm	Ontology Source	Term PValue	Term PValue Corrected with Benjamini-Hochberg	Group PValue	Group PValue Corrected with Benjamini-Hochberg	GOLevels	GOGroups	% Associated Genes	Nr. Genes	Associated Genes Found
true	GO:0008134	transcription factor binding	GO_MolecularFunction-GOA_17.11.2016_10h53	0.02742404410694449	0.03340747191209602	0.02742404410694449	0.029382904400297668	[3]	Group00	5.376344	5	[ADR1, GAL4, GZF3, SIN4, SPT8]
true	GO:0008361	regulation of cell size	GO_BiologicalProcess-GOA_17.11.2016_10h53	0.0028189370146731144	0.004970231052186807	0.0028189370146731144	0.003844005020008792	[4, 5]	Group01	18.75	3	[FKS1, FPS1, SKN7]
true	GO:0022626	cytosolic ribosome	GO_CellularComponent-GOA_17.11.2016_10h53	0.020903655335329917	0.026425375612586875	0.020903655335329917	0.02411960230999606	[5, 6, 7, 8, 9]	Group02	4.2780747	8	[BUD27, RPL13B, RPL27A, RPL35A, RPL42B, RPS11A, RPS16A, RPS7A]
true	GO:0006575	cellular modified amino acid metabolic process	GO_BiologicalProcess-GOA_17.11.2016_10h53	0.0022652599008870077	0.004275279249561395	0.0022652599008870077	0.0033978898513305116	[3, 4]	Group03	9.803922	5	[DEP1, GSH2, MET7, TEF4, URE2]
false	GO:0006749	glutathione metabolic process	GO_BiologicalProcess-GOA_17.11.2016_10h53	0.009161333760764778	0.013490315647719563	0.0022652599008870077	0.0033978898513305116	[4, 5, 6]	Group03	12.5	3	[GSH2, TEF4, URE2]
false	GO:0006979	response to oxidative stress	GO_BiologicalProcess-GOA_17.11.2016_10h53	0.006512005985043126	0.009916009113588396	4.2119296392583444E-5	1.2635788917775035E-4	[3]	Group04	5.785124	7	[LTV1, MSN4, SKN7, STB5, YAP1, YRR1, ZWF1]
true	GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	GO_BiologicalProcess-GOA_17.11.2016_10h53	4.1201911103131504E-8	1.9718057456498647E-7	4.2119296392583444E-5	1.2635788917775035E-4	[5, 7, 8, 9, 10, 11, 12]	Group04	18.181818	10	[DEP1, HOG1, MSN4, PDR8, RPN4, SKN7, STB5, YAP1, YRR1, ZAP1]
false	GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	GO_BiologicalProcess-GOA_17.11.2016_10h53	2.921160794935537E-5	9.78588866303405E-5	4.2119296392583444E-5	1.2635788917775035E-4	[6, 7, 8, 9, 10, 11, 12, 13]	Group04	17.647058	6	[DEP1, HOG1, MSN4, PDR8, RPN4, ZAP1]
false	GO:0044262	cellular carbohydrate metabolic process	GO_BiologicalProcess-GOA_17.11.2016_10h53	0.027530303003616634	0.03323478020256422	0.05841657109781727	0.05841657109781727	[3, 4]	Group05	4.0609136	8	[BCH1, BEM2, CAT8, DEP1, FKS1, FPS1, TRS65, VID24]
true	GO:0016051	carbohydrate biosynthetic process	GO_BiologicalProcess-GOA_17.11.2016_10h53	0.005180576426265725	0.008167026366113024	0.05841657109781727	0.05841657109781727	[4, 5]	Group05	6.034483	7	[BCH1, BEM2, CAT8, DEP1, FKS1, TRS65, VID24]
