InitialGene	Selection	GeneType	GeneID	Symbol Name	Input Gene ID	Gene Aliases
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	1466401	YFL041W-A	YFL041W-A	[]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	1466526	YHR007C-A	YHR007C-A	[]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850353	YCL002C	YCL002C	[]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850394	FEN2	FEN2	[YCR028C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850516	CAF16	CAF16	[YFL028C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850521	BUD27	BUD27	[URI1, YFL023W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850574	FAB1	FAB1	[SVL7, YFR019W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850683	FPS1	FPS1	[YLL043W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850710	IZH3	IZH3	[YLR023C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850712	SNF7	SNF7	[DID1, RNS4, VPL5, VPS32, YLR025W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850741	IES3	IES3	[YLR052W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850744	SPT8	SPT8	[YLR055C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850745	ERG3	ERG3	[PSO6, SYR1, YLR056W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850803	HOG1	HOG1	[SSK3, YLR113W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850889	HCR1	HCR1	[YLR192C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850971	PDR8	PDR8	[YLR266C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851055	FKS1	FKS1	[CND1, CWH53, ETG1, GSC1, PBR1, YLR342W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851064	ORM2	ORM2	[YLR350W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851071	RSC2	RSC2	[YLR357W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851086	ROM2	ROM2	[YLR371W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851087	ELO3	ELO3	[APA1, SRE1, SUR4, VBM1, YLR372W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851172	LEU3	LEU3	[YLR451W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851220	DEP1	DEP1	[FUN54, YAL013W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851335	ARF1	ARF1	[YDL192W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851336	RPL35A	RPL35A	[SOS1, YDL191W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851452	PHO2	PHO2	[BAS2, GRF10, YDL106C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851482	VAM6	VAM6	[CVT4, VPL18, VPL22, VPS39, YDL077C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851485	BRE1	BRE1	[YDL074C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851542	RPN4	RPN4	[SON1, UFD5, YDL020C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851589	RPS11A	RPS11A	[YDR025W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851591	VPS54	VPS54	[CGP1, LUV1, TCS3, YDR027C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851799	UPC2	UPC2	[MOX4, YDR213W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851802	ADR1	ADR1	[YDR216W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851889	HDA2	HDA2	[PLO2, YDR295C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851956	TRP4	TRP4	[YDR354W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852072	MFA1	MFA1	[YDR461W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852392	RXT2	RXT2	[RAF60, YBR095C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852402	VID24	VID24	[GID4, YBR105C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852425	ATG14	ATG14	[APG14, CVT12, YBR128C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852493	AIM4	AIM4	[SOY1, YBR194W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852582	PAF1	PAF1	[YBR279W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852607	RTF1	RTF1	[CSL3, YGL244W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852640	RTG2	RTG2	[YGL252C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852652	BOL2	FRA2	[AIM15, FRA2, YGL220W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852822	RAD6	RAD6	[PSO8, UBC2, YGL058W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852871	PDR1	PDR1	[AMY1, ANT1, BOR2, CYH3, NRA2, SMR2, TIL1, TPE1, TPE3, YGL013C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852872	ERG4	ERG4	[YGL012W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852997	VMA21	VMA21	[YGR105W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853030	SYF2	SYF2	[NTC31, YGR129W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853076	TRS65	KRE11	[KRE11, YGR166W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853226	RCY1	RCY1	[YJL204C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853334	GZF3	GZF3	[DEH1, NIL2, YJL110C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853390	ZAP1	ZAP1	[YJL056C, ZRG10]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853566	VPS25	VPS25	[VPL12, VPT25, YJR102C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853714	LTV1	LTV1	[YKL143W, YKL2]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853723	APL2	APL2	[YKL135C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853781	TEF4	TEF4	[EFC1, YKL081W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853803	MSN4	MSN4	[YKL062W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853854	PUT3	PUT3	[YKL015W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854108	GSH2	GSH2	[YOL049W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854156	TOP1	TOP1	[MAK1, MAK17, YOL006C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854235	VPS5	VPS5	[GRD2, PEP10, VPT5, YOR069W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854263	RPS7A	RPS7A	[RPS30, YOR096W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854333	YRR1	YRR1	[PDR2, YOR162C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854343	YRM1	YRM1	[YOR172W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854415	MET7	MET7	[MET23, YOR241W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854441	HRK1	HRK1	[YOR267C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854562	RDR1	RDR1	[YOR380W]
