NAME	negative regulation of transcription from RNA polymerase II promoter	chromatin silencing at rDNA	response to reactive oxygen species	chromatin	nuclear chromatin	RNA polymerase II transcription factor activity, sequence-specific DNA binding	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	core promoter proximal region sequence-specific DNA binding	transcription factor activity, RNA polymerase II transcription factor binding	basal RNA polymerase II transcription machinery binding	RNA polymerase II transcription cofactor activity	transcriptional activator activity, RNA polymerase II transcription factor binding	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	DNA binding	transcription cofactor activity	histone deacetylase activity	endosome	alcohol metabolic process	regulation of DNA repair	mitotic recombination	chromatin organization	chromatin remodeling	chromatin silencing at telomere	regulation of transcription from RNA polymerase II promoter	transcription from RNA polymerase II promoter	cellular modified amino acid metabolic process	ergosterol biosynthetic process	glutathione metabolic process	regulation of nitrogen utilization	post-Golgi vesicle-mediated transport	Golgi to plasma membrane transport	response to oxidative stress	vacuolar transport	cell communication	response to nutrient	transcription factor binding	zinc ion binding	regulation of cell size	endosome membrane	response to organic substance	response to inorganic substance	response to metal ion	response to organonitrogen compound	regulation of gene expression	negative regulation of macromolecule biosynthetic process	regulation of cellular ketone metabolic process	positive regulation of macromolecule metabolic process	organophosphate ester transport	ATP transport	carbohydrate biosynthetic process	organic acid catabolic process	endosomal transport	gene silencing	cytosolic transport	covalent chromatin modification	histone ubiquitination	histone deacetylation	DNA-directed RNA polymerase II, holoenzyme	heterocycle biosynthetic process	regulation of lipid metabolic process	regulation of nucleobase-containing compound metabolic process	aromatic compound biosynthetic process	cytosolic ribosome	regulation of histone modification	regulation of cellular metabolic process	positive regulation of cellular metabolic process	regulation of cellular biosynthetic process	negative regulation of cellular biosynthetic process	positive regulation of cellular catabolic process	cytoplasmic vesicle	response to nutrient levels	cellular response to nutrient levels	regulation of chromatin silencing	positive regulation of cellular protein metabolic process	maintenance of protein location in cell	regulation of localization	cellular carbohydrate biosynthetic process	nucleobase-containing compound biosynthetic process	phosphatidylinositol binding	transcriptionally active chromatin	response to topologically incorrect protein	positive regulation of transcription from RNA polymerase II promoter in response to stress	regulation of carbohydrate biosynthetic process	sequence-specific DNA binding	regulation of transcription from RNA polymerase II promoter in response to stress	cellular amine metabolic process	cellular carbohydrate metabolic process	cellular nitrogen compound biosynthetic process	late endosome to vacuole transport	positive regulation of cellular amino acid metabolic process	positive regulation of transcription, DNA-templated	positive regulation of phosphate metabolic process	carbon catabolite regulation of transcription	alcohol biosynthetic process	transition metal ion binding	Golgi vesicle transport	positive regulation of cellular process	negative regulation of cellular process	regulation of response to stimulus	positive regulation of response to stimulus	positive regulation of transport	regulation of DNA metabolic process	regulation of nitrogen compound metabolic process	regulation of vesicle-mediated transport	transferase complex, transferring phosphorus-containing groups	core mediator complex	cellular response to chemical stimulus	cellular response to organic substance	monocarboxylic acid catabolic process	regulation of primary metabolic process	regulation of response to stress	response to alcohol	nucleic acid-templated transcription	organic cyclic compound biosynthetic process	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	response to oxygen-containing compound	regulation of chromatin organization	regulation of nucleic acid-templated transcription	negative regulation of nucleic acid-templated transcription	negative regulation of chromatin organization	sequence-specific double-stranded DNA binding	regulation of cellular macromolecule biosynthetic process
negative regulation of transcription from RNA polymerase II promoter	1.0	0.28497409326424905	-0.07253886010362638	0.3995983935742972	0.31105990783410087	0.1261398176291796	0.0018867924528304279	0.0018867924528304279	0.2844444444444441	0.19189189189189162	0.06756756756756849	0.06756756756756849	0.10505836575875536	0.09287531806615787	0.1196172248803823	0.3162162162162168	-0.04979253112033143	-0.006912442396313161	0.3162162162162168	-0.087064676616916	0.2837370242214531	-0.087064676616916	0.31105990783410087	0.4064516129032259	0.36503067484662577	0.02736318407960197	-0.07253886010362638	-0.05675675675675631	0.14179104477611876	-0.1129032258064519	-0.05675675675675631	-0.1129032258064519	-0.03648068669527856	-0.02373887240356035	0.12248995983935788	0.2562189054726367	-0.03460207612456781	-0.05675675675675631	-0.006912442396313161	0.015564202334630493	0.009569377990430714	0.06756756756756849	0.14179104477611876	0.327485380116959	0.7270029673590507	0.02736318407960197	0.35330073349633256	0.009569377990430714	0.02736318407960197	-0.006912442396313161	-0.10047846889952199	-0.022222222222221907	0.3319502074688798	-0.07253886010362638	0.4273858921161826	0.16580310880829044	0.3162162162162168	0.37064676616915376	0.2620320855614974	0.04663212435233203	0.31573896353166986	0.2620320855614974	-0.12444444444444464	0.19189189189189162	0.2521968365553603	0.35330073349633256	0.2825688073394496	0.6742209631728043	0.04663212435233203	-0.09523809523809484	0.07326007326007312	0.10505836575875536	0.37064676616915376	0.22966507177033488	0.06756756756756849	-0.022222222222221907	0.02736318407960197	0.2825688073394496	-0.087064676616916	0.19189189189189162	-0.07253886010362638	0.1196172248803823	0.06756756756756849	0.007987220447284608	0.04564315352697091	0.04663212435233203	-0.022222222222221907	0.16718027734976884	0.02736318407960197	0.06756756756756849	0.40259740259740245	0.28497409326424905	0.009569377990430714	0.02736318407960197	-0.05573770491803294	-0.13519313304721034	0.2959183673469386	0.6034482758620691	0.2148594377510039	0.04663212435233203	-0.05675675675675631	0.2844444444444441	0.2932960893854748	-0.07253886010362638	0.2844444444444441	0.19189189189189162	0.11275964391691427	0.04564315352697091	-0.05675675675675631	0.2521968365553603	0.31105990783410087	-0.05675675675675631	0.327485380116959	0.23333333333333328	0.009569377990430714	-0.10047846889952199	0.31105990783410087	0.327485380116959	0.7553191489361702	0.16580310880829044	0.044982698961937746	0.31573896353166986
chromatin silencing at rDNA	0.28497409326424905	1.0	-0.045454545454544484	0.3591331269349844	0.32635983263598334	0.007504690431519771	-0.0712328767123281	-0.0712328767123281	0.11538461538461482	0.2580645161290333	-0.03870967741935365	-0.03870967741935365	-0.0697674418604651	-0.017118402282453465	-0.05504587155963243	0.5548387096774194	-0.06622516556291458	0.13389121338912247	0.2580645161290333	0.18274111675127044	0.3551401869158879	0.18274111675127044	0.5188284518828455	0.12134831460674167	0.10703043022035658	0.18274111675127044	-0.045454545454544484	-0.03870967741935365	-0.05076142131979622	-0.05857740585774015	-0.03870967741935365	-0.05857740585774015	-0.06405693950177914	-0.07942238267148004	-0.06811145510835907	-0.05076142131979622	-0.07476635514018652	-0.03870967741935365	-0.05857740585774015	-0.0697674418604651	-0.05504587155963243	-0.03870967741935365	-0.05076142131979622	0.09448818897637792	0.25270758122743675	-0.05076142131979622	0.10228802153432036	-0.05504587155963243	-0.05076142131979622	0.13389121338912247	-0.05504587155963243	-0.06153846153846215	0.5430463576158937	-0.045454545454544484	0.39072847682119166	0.21590909090909055	0.5548387096774194	0.18274111675127044	0.07355516637478107	0.21590909090909055	0.09064609450337509	0.07355516637478107	-0.06153846153846215	0.2580645161290333	0.07050730868443666	0.10228802153432036	0.07999999999999992	0.22818791946308734	-0.045454545454544484	-0.07253886010362638	-0.07253886010362638	-0.0697674418604651	0.6497461928934016	0.15596330275229311	-0.03870967741935365	-0.06153846153846215	0.18274111675127044	0.07999999999999992	-0.05076142131979622	0.2580645161290333	-0.045454545454544484	0.15596330275229311	0.2580645161290333	-0.07739307535641576	0.08609271523178746	-0.045454545454544484	0.11538461538461482	0.04515659140568099	-0.05076142131979622	-0.03870967741935365	0.12058823529411747	0.477272727272727	-0.05504587155963243	0.18274111675127044	-0.07659574468085079	-0.06405693950177914	0.08222490931076175	0.19726858877086503	0.07430340557275542	-0.045454545454544484	-0.03870967741935365	0.4692307692307689	0.08341056533827623	-0.045454545454544484	0.11538461538461482	-0.03870967741935365	-0.07942238267148004	-0.06622516556291458	-0.03870967741935365	0.07050730868443666	0.13389121338912247	-0.03870967741935365	0.09448818897637792	0.06473029045643147	-0.05504587155963243	-0.05504587155963243	0.5188284518828455	0.09448818897637792	0.2664165103189489	0.477272727272727	-0.07476635514018652	0.09064609450337509
response to reactive oxygen species	-0.07253886010362638	-0.045454545454544484	1.0	-0.06811145510835907	-0.05857740585774015	0.007504690431519771	0.054794520547945105	0.054794520547945105	-0.06153846153846215	-0.03870967741935365	-0.03870967741935365	-0.03870967741935365	-0.0697674418604651	0.11412268188302434	-0.05504587155963243	-0.03870967741935365	-0.06622516556291458	-0.05857740585774015	-0.03870967741935365	-0.05076142131979622	0.03271028037383208	0.18274111675127044	-0.05857740585774015	0.06966292134831474	0.05876180482686237	-0.05076142131979622	-0.045454545454544484	-0.03870967741935365	-0.05076142131979622	-0.05857740585774015	-0.03870967741935365	0.7112970711297069	-0.06405693950177914	0.25270758122743675	0.07430340557275542	-0.05076142131979622	-0.07476635514018652	0.2580645161290333	-0.05857740585774015	0.3313953488372093	0.7889908256880733	0.2580645161290333	-0.05076142131979622	0.09448818897637792	0.0036101083032491327	-0.05076142131979622	-0.021534320323014697	-0.05504587155963243	-0.05076142131979622	-0.05857740585774015	-0.05504587155963243	-0.06153846153846215	-0.06622516556291458	-0.045454545454544484	-0.06622516556291458	-0.045454545454544484	-0.03870967741935365	-0.05076142131979622	0.07355516637478107	-0.045454545454544484	0.09064609450337509	0.07355516637478107	-0.06153846153846215	-0.03870967741935365	0.07050730868443666	-0.021534320323014697	0.07999999999999992	-0.00335570469798661	-0.045454545454544484	-0.07253886010362638	0.16580310880829044	0.19767441860465101	-0.05076142131979622	-0.05504587155963243	-0.03870967741935365	-0.06153846153846215	-0.05076142131979622	0.07999999999999992	-0.05076142131979622	-0.03870967741935365	0.477272727272727	0.15596330275229311	-0.03870967741935365	0.20366598778004044	0.39072847682119166	-0.045454545454544484	-0.06153846153846215	0.04515659140568099	-0.05076142131979622	-0.03870967741935365	-0.014705882352941319	-0.045454545454544484	0.15596330275229311	-0.05076142131979622	-0.07659574468085079	-0.06405693950177914	-0.02902055622732769	-0.012139605462822216	0.21671826625386992	-0.045454545454544484	-0.03870967741935365	-0.06153846153846215	0.08341056533827623	-0.045454545454544484	-0.06153846153846215	-0.03870967741935365	0.25270758122743675	0.39072847682119166	-0.03870967741935365	0.07050730868443666	0.32635983263598334	0.2580645161290333	0.09448818897637792	0.06473029045643147	0.15596330275229311	0.7889908256880733	-0.05857740585774015	0.09448818897637792	0.007504690431519771	-0.045454545454544484	0.03271028037383208	0.09064609450337509
chromatin	0.3995983935742972	0.3591331269349844	-0.06811145510835907	1.0	0.7549933422103863	-0.037872683319903185	-0.14880332986472347	-0.05306971904266379	0.35623409669211187	0.24713584288052357	-0.054009819967266705	0.0965630114566285	-0.14254859611231083	0.09270216962524686	-0.09217877094971981	0.397708674304419	-0.12850467289719608	0.019973368841545255	0.24713584288052357	0.32452276064610913	0.6979362101313322	0.05433186490455216	0.7549933422103863	0.12309368191721135	0.1942297784647089	0.05433186490455216	-0.06811145510835907	-0.054009819967266705	0.1894273127753303	-0.1025299600532622	-0.054009819967266705	-0.1025299600532622	-0.12058465286236283	-0.045454545454545324	0.07070707070707073	-0.08076358296622604	-0.07879924953095624	-0.054009819967266705	-0.1025299600532622	0.1555075593952484	-0.09217877094971981	-0.054009819967266705	0.1894273127753303	0.2130987292277615	0.4592476489028213	-0.08076358296622604	0.19044626021370228	-0.09217877094971981	-0.08076358296622604	0.019973368841545255	-0.09217877094971981	-0.1119592875318058	0.731308411214953	-0.06811145510835907	0.731308411214953	0.5015479876160989	0.397708674304419	0.1894273127753303	0.16400709219858176	0.07430340557275542	0.20422873618452667	0.16400709219858176	-0.1119592875318058	0.397708674304419	0.19685726756874725	0.19044626021370228	0.17932296431838976	0.41901931649331353	-0.06811145510835907	-0.15461847389558214	0.030120481927710892	0.05615550755939527	0.4596182085168866	0.29329608938547524	-0.054009819967266705	0.005089058524173078	0.05433186490455216	0.17932296431838976	-0.08076358296622604	0.397708674304419	0.07430340557275542	0.036312849162011204	0.0965630114566285	-0.02134927412467925	-0.021028037383177503	-0.06811145510835907	0.005089058524173078	0.0942824687618326	-0.08076358296622604	-0.054009819967266705	0.16419919246298784	0.3591331269349844	-0.09217877094971981	0.05433186490455216	-0.09330985915492898	-0.12058465286236283	0.1496244945118431	0.42935906271536883	0.1739618406285081	0.07430340557275542	-0.054009819967266705	0.35623409669211187	0.18735471873547196	-0.06811145510835907	0.12213740458015314	-0.054009819967266705	0.02664576802507844	0.19392523364486025	-0.054009819967266705	0.19685726756874725	0.2649800266311585	-0.054009819967266705	0.2130987292277615	0.14273612875900044	-0.09217877094971981	-0.09217877094971981	0.6324900133155789	0.2130987292277615	0.4810636583400484	0.3591331269349844	0.007504690431519771	0.20422873618452667
nuclear chromatin	0.31105990783410087	0.32635983263598334	-0.05857740585774015	0.7549933422103863	1.0	-0.04820333041191933	-0.10977080820265357	0.0012062726176122994	0.056782334384859266	-0.04783599088838343	-0.04783599088838343	0.1617312072892941	-0.10632911392405109	0.11355815554026141	-0.07553956834532317	0.580865603644647	-0.09831460674157368	0.07226890756302572	-0.04783599088838343	0.4661508704061898	0.465116279069767	0.11025145067698298	0.6907563025210086	0.056541019955654	0.13794898490369567	0.11025145067698298	-0.05857740585774015	-0.04783599088838343	0.11025145067698298	-0.0823529411764708	-0.04783599088838343	-0.0823529411764708	-0.09361069836552752	-0.052542372881355416	0.019973368841545255	-0.06769825918762132	-0.021141649048626008	-0.04783599088838343	-0.0823529411764708	0.1265822784810121	-0.07553956834532317	-0.04783599088838343	0.11025145067698298	0.16486751717369966	0.41525423728813554	-0.06769825918762132	0.03853690398432425	-0.07553956834532317	-0.06769825918762132	0.07226890756302572	-0.07553956834532317	-0.08832807570977932	0.6769662921348313	-0.05857740585774015	0.5477528089887639	0.32635983263598334	0.580865603644647	-0.06769825918762132	0.12940140845070422	0.13389121338912247	0.1584015406836784	0.12940140845070422	-0.08832807570977932	-0.04783599088838343	0.1241886629164863	0.03853690398432425	0.14038286235186878	0.37837837837837845	-0.05857740585774015	-0.1129032258064519	-0.006912442396313161	0.010126582278481112	0.28820116054158545	-0.07553956834532317	-0.04783599088838343	0.056782334384859266	0.11025145067698298	0.14038286235186878	-0.06769825918762132	-0.04783599088838343	0.13389121338912247	0.08992805755395801	0.1617312072892941	0.04797742238946368	0.030898876404494357	-0.05857740585774015	0.056782334384859266	0.08034061458718988	-0.06769825918762132	-0.04783599088838343	0.05657708628005678	0.13389121338912247	-0.07553956834532317	0.11025145067698298	-0.03320312499999914	-0.09361069836552752	0.01837581505631336	0.33090909090909093	0.019973368841545255	0.13389121338912247	-0.04783599088838343	0.20189274447949565	0.146171693735499	-0.05857740585774015	-0.08832807570977932	-0.04783599088838343	0.025423728813559365	0.1601123595505612	-0.04783599088838343	0.1241886629164863	0.07226890756302572	-0.04783599088838343	0.16486751717369966	0.11427375470908327	-0.07553956834532317	-0.07553956834532317	0.22689075630252065	0.16486751717369966	0.4355828220858894	0.32635983263598334	0.07610993657505259	0.1584015406836784
RNA polymerase II transcription factor activity, sequence-specific DNA binding	0.1261398176291796	0.007504690431519771	0.007504690431519771	-0.037872683319903185	-0.04820333041191933	1.0	0.7149496514329974	0.7149496514329974	0.17152658662092626	0.11623439000960564	0.027857829010567138	0.20461095100864576	0.6729857819905214	0.7279716144293317	-0.03046594982078818	-0.06051873198847262	-0.17269736842105296	0.03242769500438172	0.11623439000960564	-0.09624197983501344	0.0234260614934113	0.07241063244729619	-0.04820333041191933	0.5918580375782883	0.5379206428930187	-0.09624197983501344	0.007504690431519771	-0.06051873198847262	0.15673693858845142	-0.1288343558282212	-0.06051873198847262	0.11305872042068359	-0.15869017632241816	0.24142480211081793	0.3327961321514909	0.15673693858845142	0.7642752562225479	-0.06051873198847262	-0.1288343558282212	0.16429699842022125	-0.03046594982078818	-0.06051873198847262	0.15673693858845142	0.48789932236205236	0.059366754617414044	0.32538955087076105	0.6300976450315909	-0.03046594982078818	-0.0119156736938582	-0.04820333041191933	0.2992831541218637	-0.14408233276157825	-0.021381578947368828	-0.07879924953095718	-0.0970394736842105	0.007504690431519771	-0.06051873198847262	-0.0119156736938582	0.3980144404332129	0.09380863039399585	0.4720229555236729	0.3980144404332129	-0.14408233276157825	0.027857829010567138	0.3842034805890227	0.6300976450315909	0.4265927977839335	0.03065134099616857	0.2664165103189489	-0.22340425531914868	0.47568389057750793	0.4549763033175354	0.07241063244729619	0.051971326164874425	0.027857829010567138	-0.06518010291595136	-0.09624197983501344	0.4265927977839335	-0.09624197983501344	0.027857829010567138	-0.07879924953095718	0.21684587813620082	0.027857829010567138	0.744621790423317	0.28124999999999983	0.18011257035647246	-0.06518010291595136	0.2613408269771176	-0.09624197983501344	0.20461095100864576	0.6962785114045619	0.09380863039399585	0.21684587813620082	-0.0119156736938582	0.7076271186440679	-0.15869017632241816	0.5502444323737099	-0.009140767824497562	0.18452860596293344	0.18011257035647246	0.027857829010567138	0.01372212692967423	0.4413825315273237	-0.07879924953095718	-0.06518010291595136	-0.06051873198847262	0.4234828496042215	0.20559210526315774	0.11623439000960564	0.3842034805890227	0.19368974583698495	0.11623439000960564	0.48789932236205236	0.35748581405499785	0.3817204301075268	0.051971326164874425	0.03242769500438172	0.48789932236205236	0.07444668008048261	0.007504690431519771	0.7642752562225479	0.4720229555236729
transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	0.0018867924528304279	-0.0712328767123281	0.054794520547945105	-0.14880332986472347	-0.10977080820265357	0.7149496514329974	1.0	0.9104186952288218	-0.013921113689095268	0.07604017216642779	-0.055954088952653906	0.07604017216642779	0.8611670020120723	0.5266881028938908	-0.09798994974874312	-0.055954088952653906	-0.14008620689655124	0.11218335343787704	0.07604017216642779	-0.08519003931848007	0.060390763765541894	0.15596330275229314	-0.10977080820265357	0.3790496760259179	0.3398257303946693	-0.08519003931848007	0.054794520547945105	-0.055954088952653906	-0.08519003931848007	-0.10977080820265357	-0.055954088952653906	0.11218335343787704	-0.1307262569832406	0.1314199395770393	0.2341311134235171	0.15596330275229314	0.5506216696269982	-0.055954088952653906	-0.10977080820265357	0.02816901408450684	0.017587939698492924	-0.055954088952653906	-0.08519003931848007	0.30439024390243896	-0.007552870090634336	0.39711664482306636	0.4892041949413941	0.017587939698492924	0.035386631716907126	0.0012062726176122994	0.2487437185929651	-0.12064965197215784	-0.0409482758620686	-0.0712328767123281	-0.14008620689655124	-0.0712328767123281	-0.055954088952653906	-0.08519003931848007	0.2428825622775801	0.18082191780821905	0.2933269323091695	0.2428825622775801	-0.12064965197215784	-0.055954088952653906	0.23366944322665492	0.4892041949413941	0.2621448212648945	-0.025899280575539828	0.306849315068493	-0.17169811320754677	0.34905660377358483	0.30583501006036196	0.035386631716907126	0.017587939698492924	-0.055954088952653906	-0.013921113689095268	-0.08519003931848007	0.2621448212648945	-0.08519003931848007	-0.055954088952653906	-0.0712328767123281	0.2487437185929651	0.07604017216642779	0.6995918367346939	0.2564655172413794	0.18082191780821905	-0.013921113689095268	0.1543469934890847	-0.08519003931848007	0.2080344332855094	0.5466491458607093	0.054794520547945105	0.3643216080402012	0.035386631716907126	0.4983221476510069	-0.1307262569832406	0.42270393610952633	-0.05036937541974489	0.1383975026014568	0.18082191780821905	0.07604017216642779	-0.013921113689095268	0.27221963704048396	-0.0712328767123281	-0.12064965197215784	-0.055954088952653906	0.33987915407854974	0.05818965517241407	0.2080344332855094	0.23366944322665492	0.11218335343787704	0.2080344332855094	0.30439024390243896	0.21602045164039194	0.5954773869346733	0.13316582914572894	0.0012062726176122994	0.30439024390243896	0.002323780015491798	0.054794520547945105	0.7957371225577264	0.2933269323091695
core promoter proximal region sequence-specific DNA binding	0.0018867924528304279	-0.0712328767123281	0.054794520547945105	-0.05306971904266379	0.0012062726176122994	0.7149496514329974	0.9104186952288218	1.0	0.0928074245939678	0.07604017216642779	-0.055954088952653906	0.2080344332855094	0.768611670020121	0.5266881028938908	-0.09798994974874312	-0.055954088952653906	-0.14008620689655124	0.11218335343787704	0.07604017216642779	-0.08519003931848007	0.060390763765541894	0.15596330275229314	-0.10977080820265357	0.3790496760259179	0.3398257303946693	-0.08519003931848007	0.054794520547945105	-0.055954088952653906	0.035386631716907126	-0.10977080820265357	-0.055954088952653906	0.11218335343787704	-0.1307262569832406	0.2009063444108761	0.32986472424557806	0.15596330275229314	0.4689165186500888	-0.055954088952653906	-0.10977080820265357	0.12072434607645856	0.017587939698492924	-0.055954088952653906	0.035386631716907126	0.30439024390243896	-0.007552870090634336	0.2765399737876799	0.4892041949413941	0.017587939698492924	0.035386631716907126	0.0012062726176122994	0.2487437185929651	-0.12064965197215784	-0.0409482758620686	-0.0712328767123281	-0.14008620689655124	-0.0712328767123281	-0.055954088952653906	-0.08519003931848007	0.2428825622775801	0.18082191780821905	0.2933269323091695	0.2428825622775801	-0.12064965197215784	-0.055954088952653906	0.23366944322665492	0.4892041949413941	0.2621448212648945	-0.025899280575539828	0.306849315068493	-0.17169811320754677	0.4358490566037739	0.3983903420523138	0.035386631716907126	0.017587939698492924	-0.055954088952653906	-0.013921113689095268	-0.08519003931848007	0.2621448212648945	-0.08519003931848007	-0.055954088952653906	-0.0712328767123281	0.2487437185929651	0.07604017216642779	0.7746938775510203	0.2564655172413794	0.054794520547945105	-0.013921113689095268	0.1543469934890847	-0.08519003931848007	0.07604017216642779	0.5466491458607093	0.054794520547945105	0.3643216080402012	0.035386631716907126	0.4211409395973153	-0.1307262569832406	0.42270393610952633	-0.05036937541974489	0.2341311134235171	0.306849315068493	0.07604017216642779	-0.013921113689095268	0.27221963704048396	-0.0712328767123281	-0.12064965197215784	-0.055954088952653906	0.40936555891238674	0.1573275862068968	0.2080344332855094	0.23366944322665492	0.22316043425814278	0.2080344332855094	0.30439024390243896	0.21602045164039194	0.5954773869346733	0.13316582914572894	0.0012062726176122994	0.30439024390243896	0.002323780015491798	0.054794520547945105	0.8774422735346358	0.2933269323091695
transcription factor activity, RNA polymerase II transcription factor binding	0.2844444444444441	0.11538461538461482	-0.06153846153846215	0.35623409669211187	0.056782334384859266	0.17152658662092626	-0.013921113689095268	0.0928074245939678	1.0	0.5228215767634854	0.5228215767634854	0.5228215767634854	-0.11650485436893267	0.092517006802721	0.3825503355704698	-0.04979253112033348	-0.10695187165775376	0.056782334384859266	0.33195020746887915	-0.07168458781362083	0.2459016393442619	-0.07168458781362083	0.20189274447949565	0.2384105960264901	0.21183800623052945	-0.07168458781362083	-0.06153846153846215	-0.04979253112033348	0.4229390681003583	-0.08832807570977932	-0.04979253112033348	-0.08832807570977932	-0.10140845070422494	0.15946843853820625	0.35623409669211187	0.09318996415770615	-0.03688524590163972	-0.04979253112033348	-0.08832807570977932	0.3300970873786406	-0.08053691275167782	-0.04979253112033348	0.4229390681003583	0.18823529411764722	0.2358803986710963	0.2580645161290316	0.25614489003880986	-0.08053691275167782	-0.07168458781362083	-0.08832807570977932	0.22818791946308703	-0.09523809523809547	0.26203208556149743	-0.06153846153846215	0.13903743315508027	0.2923076923076922	-0.04979253112033348	0.587813620071684	0.1481481481481482	0.11538461538461482	0.18094321462945132	0.1481481481481482	0.041666666666667074	0.33195020746887915	0.14223764093668675	0.25614489003880986	0.16058394160583947	0.20937499999999987	0.2923076923076922	-0.12444444444444464	0.2844444444444441	0.3300970873786406	0.4229390681003583	0.22818791946308703	-0.04979253112033348	-0.09523809523809547	-0.07168458781362083	0.16058394160583947	-0.07168458781362083	0.5228215767634854	-0.06153846153846215	-0.08053691275167782	-0.04979253112033348	0.029357798165137887	-0.10695187165775376	0.11538461538461482	-0.09523809523809547	0.09233060312732688	-0.07168458781362083	0.1410788381742742	0.2932960893854748	0.2923076923076922	0.07382550335570466	-0.07168458781362083	-0.04942965779467685	-0.10140845070422494	0.2143698468786807	0.24103299856527946	0.2391857506361323	0.11538461538461482	-0.04979253112033348	0.17857142857142938	0.16713091922005566	-0.06153846153846215	0.45238095238095266	0.33195020746887915	0.15946843853820625	0.3850267379679147	0.1410788381742742	0.14223764093668675	0.3470031545741332	0.1410788381742742	0.18823529411764722	0.13098236775818647	0.07382550335570466	0.07382550335570466	0.4921135646687698	0.18823529411764722	0.2504288164665526	0.2923076923076922	0.05737704918032749	0.18094321462945132
basal RNA polymerase II transcription machinery binding	0.19189189189189162	0.2580645161290333	-0.03870967741935365	0.24713584288052357	-0.04783599088838343	0.11623439000960564	0.07604017216642779	0.07604017216642779	0.5228215767634854	1.0	-0.03370786516854014	0.31086142322097565	-0.0550458715596336	0.07003610108303193	-0.04545454545454653	-0.03370786516854014	-0.05281690140845169	0.1617312072892941	0.6554307116104866	-0.04249291784702416	0.2760290556900725	-0.04249291784702416	0.3712984054669695	0.0914221218961625	0.08048395581273	-0.04249291784702416	-0.03870967741935365	-0.03370786516854014	-0.04249291784702416	-0.04783599088838343	-0.03370786516854014	-0.04783599088838343	-0.0514285714285717	0.02398523985239896	0.0965630114566285	0.21813031161473287	-0.05811138014527903	-0.03370786516854014	-0.04783599088838343	0.08562691131498548	-0.04545454545454653	-0.03370786516854014	-0.04249291784702416	0.0709359605911332	0.19372693726937268	0.21813031161473287	0.12440516655336518	-0.04545454545454653	-0.04249291784702416	-0.04783599088838343	0.18686868686868685	-0.04979253112033348	0.433098591549296	-0.03870967741935365	0.2711267605633795	0.5548387096774194	-0.03370786516854014	0.4787535410764872	0.055069930069929884	0.2580645161290333	0.06801736613603476	0.055069930069929884	-0.04979253112033348	0.6554307116104866	0.052767052767052715	0.12440516655336518	0.059945504087193506	0.17435897435897474	0.2580645161290333	-0.05675675675675631	0.06756756756756849	0.08562691131498548	0.7393767705382442	0.41919191919191834	-0.03370786516854014	-0.04979253112033348	-0.04249291784702416	0.059945504087193506	-0.04249291784702416	0.6554307116104866	-0.03870967741935365	-0.04545454545454653	-0.03370786516854014	0.03664921465968609	-0.05281690140845169	-0.03870967741935365	-0.04979253112033348	0.03368344802607737	-0.04249291784702416	-0.03370786516854014	0.14307004470938894	0.5548387096774194	0.18686868686868685	-0.04249291784702416	-0.059210526315789797	-0.0514285714285717	0.1040779062690204	0.15011547344110848	0.24713584288052357	-0.03870967741935365	-0.03370786516854014	0.33195020746887915	0.06252894858730883	-0.03870967741935365	0.33195020746887915	-0.03370786516854014	0.02398523985239896	0.10915492957746536	0.31086142322097565	0.052767052767052715	0.3712984054669695	0.31086142322097565	0.0709359605911332	0.04840711625982625	0.18686868686868685	0.18686868686868685	0.580865603644647	0.0709359605911332	0.20461095100864576	0.2580645161290333	0.05326876513317187	0.06801736613603476
