InitialGene	Selection	GeneType	GeneID	Symbol Name	Input Gene ID	Gene Aliases
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	1466509	YNL277W-A	YNL277W-A	[]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850384	HTL1	HTL1	[YCR020W-B]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850445	TUP1	TUP1	[AAR1, AER2, AMM1, CRT4, CYC9, FLK1, ROX4, SFL2, UMR7, YCR084C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850532	HSP12	HSP12	[GLP1, HOR5, YFL014W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850574	FAB1	FAB1	[SVL7, YFR019W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850601	SAP155	SAP155	[YFR040W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850651	COX17	COX17	[YLL009C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850736	FRE8	FRE8	[YLR047C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850758	MEF1	MEF1	[YLR069C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850768	SIC1	SIC1	[BYC1, SDB25, YLR079W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850774	ARP6	ARP6	[YLR085C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850800	CCW12	CCW12	[YLR110C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850838	SPE4	SPE4	[YLR146C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850898	COQ9	COQ9	[YLR201C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850901	QRI5	QRI5	[COX24, YLR204W, mS38]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850945	MAP1	MAP1	[YLR244C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850965	VPS63	VPS63	[YLR261C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850971	PDR8	PDR8	[YLR266C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851051	VRP1	VRP1	[END5, MDP2, YLR337C, YLR337W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851107	CCW14	CCW14	[SSR1, YLR390W-A, YLR391W, YLR391W-A]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851172	LEU3	LEU3	[YLR451W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851243	GPB2	GPB2	[KRH1, YAL056W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851254	GCV3	GCV3	[YAL044C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851281	YAR029W	YAR029W	[]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851335	ARF1	ARF1	[YDL192W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851409	LDB17	LDB17	[YDL146W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851451	MSS2	MSS2	[YDL107W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851491	CBS1	CBS1	[YDL069C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851529	SLM3	SLM3	[MTO2, MTU1, YDL033C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851542	RPN4	RPN4	[SON1, UFD5, YDL020C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851559	MED2	MED2	[YDL005C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851597	MRH1	MRH1	[YDR033W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851650	SHU2	SHU2	[YDR078C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851652	TFB5	TFB5	[YDR079C-A]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851716	HPR1	HPR1	[TRF1, YDR138W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851729	CTH1	CTH1	[YDR151C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851736	HOM2	HOM2	[THR2, YDR158W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851756	NGG1	NGG1	[ADA3, SWI7, YDR176W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851758	SDH4	SDH4	[ACN18, YDR178W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851775	MSS116	MSS116	[YDR194C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851778	CBS2	CBS2	[CBP7, YDR197W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851799	UPC2	UPC2	[MOX4, YDR213W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851802	ADR1	ADR1	[YDR216W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851832	MNN10	MNN10	[BED1, REC41, SLC2, YDR245W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851857	AKR1	AKR1	[YDR264C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851889	HDA2	HDA2	[PLO2, YDR295C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851894	PRO1	PRO1	[YDR300C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851983	ATP17	ATP17	[YDR377W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852150	PAD1	PAD1	[POF1, YDR538W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852154	YDR541C	YDR541C	[]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852314	ETR1	ETR1	[MRF1, MRF1', YBR026C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852323	PDX3	PDX3	[YBR035C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852324	CSG2	CSG2	[CLS2, YBR036C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852325	SCO1	SCO1	[PET161, YBR037C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852350	TSC3	TSC3	[YBR058C-A]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852380	AAC3	AAC3	[ANC3, YBR085W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852417	CBP6	CBP6	[YBR120C]
