NAME	mannosyltransferase activity	carbon catabolite regulation of transcription from RNA polymerase II promoter	carbon catabolite activation of transcription from RNA polymerase II promoter	mitochondrial RNA metabolic process	transcription regulatory region sequence-specific DNA binding	RNA polymerase II regulatory region sequence-specific DNA binding	RNA polymerase II transcription factor activity, sequence-specific DNA binding	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	core promoter proximal region sequence-specific DNA binding	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	nucleic acid binding	DNA binding	mitochondrion	mitochondrial matrix	organic acid metabolic process	transcription, DNA-templated	regulation of transcription, DNA-templated	regulation of transcription from RNA polymerase II promoter	transcription from RNA polymerase II promoter	protein glycosylation	lipid metabolic process	water-soluble vitamin metabolic process	cellular ion homeostasis	cellular metal ion homeostasis	mitochondrion organization	zinc ion binding	lipid biosynthetic process	macromolecule biosynthetic process	response to extracellular stimulus	gene expression	regulation of gene expression	positive regulation of macromolecule biosynthetic process	regulation of cellular ketone metabolic process	positive regulation of macromolecule metabolic process	positive regulation of gene expression	positive regulation of mitochondrion organization	proton-transporting two-sector ATPase complex	vacuolar proton-transporting V-type ATPase complex	transferase activity, transferring glycosyl groups	heterocycle biosynthetic process	regulation of lipid metabolic process	regulation of nucleobase-containing compound metabolic process	regulation of metabolic process	aromatic compound biosynthetic process	cellular homeostasis	carboxylic acid metabolic process	cation-transporting ATPase activity	integral component of Golgi membrane	organelle membrane	regulation of cellular biosynthetic process	positive regulation of cellular biosynthetic process	positive regulation of cellular catabolic process	cellular response to extracellular stimulus	organelle subcompartment	mitochondrial translation	RNA biosynthetic process	cellular response to oxidative stress	cellular macromolecule biosynthetic process	nucleobase-containing compound biosynthetic process	SPOTS complex	cellular response to decreased oxygen levels	cellular ketone metabolic process	mitochondrial nucleoid	sequence-specific DNA binding	regulation of transcription from RNA polymerase II promoter in response to stress	regulation of transcription from RNA polymerase II promoter in response to oxidative stress	cellular biosynthetic process	cellular nitrogen compound biosynthetic process	mitochondrial part	cytoplasmic part	mitochondrial membrane part	single-organism biosynthetic process	positive regulation of cellular amino acid metabolic process	positive regulation of lipid metabolic process	positive regulation of transcription, DNA-templated	positive regulation of nucleobase-containing compound metabolic process	positive regulation of transcription from RNA polymerase II promoter	metal ion binding	transition metal ion binding	positive regulation of cellular process	chemical homeostasis	regulation of cellular process	regulation of nitrogen compound metabolic process	positive regulation of nitrogen compound metabolic process	tRNA aminoacylation for mitochondrial protein translation	cellular response to chemical stimulus	cellular response to pH	monocarboxylic acid biosynthetic process	regulation of cellular ketone metabolic process by regulation of transcription from RNA polymerase II promoter	mitochondrial respiratory chain complex III biogenesis	organic cyclic compound biosynthetic process	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	organic substance biosynthetic process	regulation of cellular macromolecule biosynthetic process
mannosyltransferase activity	1.0	-0.03531786074672164	-0.030120481927712116	-0.032948929159798884	-0.047327394209355014	-0.045871559633028455	-0.05046072838964391	-0.04663363450888993	-0.045871559633028455	-0.04503055644901717	-0.056550424128180746	-0.05350194552529259	-0.05555555555555627	-0.047961630695442244	-0.051903114186850695	-0.05513981882630915	-0.05498927038626682	-0.05392912172573159	-0.054315913094539786	0.8274470232088784	0.034846625766869976	-0.032948929159798884	-0.0430570505920348	-0.03733084461035961	-0.050858232676414934	-0.04907975460122741	-0.04503055644901717	0.07256894049346856	-0.04409769335142566	-0.05784526391901659	-0.05603842634949711	-0.052770448548811924	-0.032948929159798884	-0.05350194552529259	-0.052770448548811924	-0.026684456304203005	-0.030120481927712116	-0.022421524663678565	0.7031250000000006	-0.056356345507748755	-0.032948929159798884	-0.05513981882630915	-0.05690179534974966	-0.056356345507748755	-0.04663363450888993	-0.051229508196722125	-0.032948929159798884	0.7939759036144576	0.11333333333333273	-0.056254136333553875	-0.053271183619111505	-0.026684456304203005	-0.041888804265042906	0.6010265982267843	-0.04056795131845601	-0.05528413473900729	-0.039062500000001076	0.07596522828725823	-0.05614823133071281	-0.022421524663678565	-0.022421524663678565	-0.039062500000001076	-0.026684456304203005	-0.04957507082153059	-0.03733084461035961	-0.030120481927712116	0.04287245444801722	-0.05784526391901659	-0.053720966977404985	0.028910686628807428	-0.04409769335142566	-0.00123266563944501	-0.022421524663678565	-0.026684456304203005	-0.051903114186850695	-0.052209584187954954	-0.050858232676414934	-0.05555555555555627	-0.05157706804205424	-0.054127198917456494	-0.045871559633028455	-0.057731958762886545	-0.056356345507748755	-0.05350194552529259	-0.022421524663678565	-0.052209584187954954	-0.022421524663678565	-0.03531786074672164	-0.022421524663678565	-0.022421524663678565	-0.056550424128180746	-0.03531786074672164	0.04287245444801722	-0.05592450192240485
carbon catabolite regulation of transcription from RNA polymerase II promoter	-0.03531786074672164	1.0	0.8274470232088784	-0.0392706872370257	0.46921883083290244	0.5185810810810815	0.3598169717138108	0.4928552170396332	0.5185810810810815	0.44594992636229713	0.13395348837209337	0.24929444967074343	-0.03485838779956432	-0.06263982102908126	0.24503311258278151	0.23180592991913712	0.238407126015195	0.2845188284518829	0.26777048244361956	-0.042682926829267054	0.1720083006686652	-0.0392706872370257	-0.054527750730283285	-0.04565837749694234	-0.06767371601208436	0.25086465298593447	0.04300441826214991	0.10130246020260515	0.683137739345274	0.11087113030957546	0.1921259842519684	0.27628237684103635	0.4403927068723696	0.24929444967074343	0.27628237684103635	-0.030684931506851025	-0.03531786074672164	-0.025179856115104343	-0.04827586206896504	0.17797243884200428	0.28050490883590506	0.23180592991913712	0.153547510433854	0.17797243884200428	-0.06039363709894828	0.26552128074970727	-0.0392706872370257	-0.03531786074672164	-0.03485838779956432	0.18252933507170807	0.25783636071371174	0.15671232876712352	0.7660738714090293	-0.04565837749694234	-0.05059631369714288	0.22546552591847016	-0.04827586206896504	0.1059695669137728	0.18724439040565904	-0.025179856115104343	0.17985611510791652	0.3448275862068964	-0.030684931506851025	0.3911882510013349	0.09376273950265121	-0.03531786074672164	0.06021505376344086	0.11087113030957546	-0.07283856159143023	-0.048098898815707405	-0.05620753551575108	0.028989838613269675	-0.025179856115104343	0.15671232876712352	0.3079470198675497	0.29679957089218634	0.34561933534743206	0.1307189542483659	0.19018753551809092	0.2260183968462547	-0.059121621621620706	0.116025272831706	0.17797243884200428	0.24929444967074343	-0.025179856115104343	0.35794743429286635	-0.025179856115104343	0.10627177700348539	0.5899280575539583	-0.025179856115104343	0.16930232558139538	0.7020905923344951	0.06021505376344086	0.1971830985915498
carbon catabolite activation of transcription from RNA polymerase II promoter	-0.030120481927712116	0.8274470232088784	1.0	-0.032948929159798884	0.42873051224944375	0.4770642201834853	0.3247038174637996	0.4517633343048664	0.4770642201834853	0.394982309424253	0.12252591894439198	0.22373540856031154	-0.013333333333333206	-0.047961630695442244	0.14532871972318373	0.16935801496652225	0.17435622317596583	0.2095531587057012	0.19671168526130378	-0.03531786074672164	0.11877300613496891	-0.032948929159798884	-0.0430570505920348	-0.03733084461035961	-0.050858232676414934	0.28662576687116526	-0.04503055644901717	0.07256894049346856	0.5359565807327007	0.07953723788864764	0.1395242451967064	0.2480211081794197	0.34266886326194584	0.22373540856031154	0.2480211081794197	-0.026684456304203005	-0.030120481927712116	-0.022421524663678565	-0.039062500000001076	0.12896932914273315	0.15485996705107224	0.16935801496652225	0.11086039438830557	0.12896932914273315	-0.04663363450888993	0.15901639344262342	-0.032948929159798884	-0.030120481927712116	-0.013333333333333206	0.13236267372600927	0.23139670384551317	0.20146764509672901	0.6092916984006082	-0.03733084461035961	-0.04056795131845601	0.16456672666495248	-0.039062500000001076	0.07596522828725823	0.1358787198203256	-0.022421524663678565	0.23318385650224052	0.2578124999999992	-0.026684456304203005	0.35410764872521294	0.12225851609892503	-0.030120481927712116	0.04287245444801722	0.07953723788864764	-0.053720966977404985	-0.024057821373257616	-0.04409769335142566	-0.00123266563944501	-0.022421524663678565	0.20146764509672901	0.27681660899654	0.26664180495990963	0.3115066751430379	0.15555555555555567	0.21979765919460484	0.20297699594045968	-0.045871559633028455	0.083298969072165	0.12896932914273315	0.22373540856031154	-0.022421524663678565	0.26664180495990963	-0.022421524663678565	-0.03531786074672164	0.48878923766816074	-0.022421524663678565	0.12252591894439198	0.8274470232088784	0.04287245444801722	0.14330653617616207
mitochondrial RNA metabolic process	-0.032948929159798884	-0.0392706872370257	-0.032948929159798884	1.0	-0.054706355591311075	-0.05277044854881111	-0.058936579115950946	-0.05378151260504212	-0.05277044854881111	-0.051660516605166934	0.11048689138576802	-0.06312769010043032	0.18481848184818497	0.3842592592592598	0.13197969543147253	-0.021028037383177357	-0.06520874751491001	-0.0637232589895307	-0.06426400347372958	-0.0392706872370257	-0.05706134094151264	-0.03636363636363601	-0.0490797546012265	-0.04177545691905866	0.3643122676579929	-0.05706134094151264	-0.051660516605166934	0.034782608695652174	-0.050436469447137804	0.09523809523809536	-0.027900646478394374	-0.062111801242236586	-0.03636363636363601	-0.06312769010043032	-0.062111801242236586	-0.02888086642599384	-0.032948929159798884	-0.023952095808380765	-0.043956043956042114	0.006455777921239217	-0.03636363636363601	-0.0654205607476638	-0.03454332552693195	0.006455777921239217	-0.05378151260504212	0.1451709658068388	-0.03636363636363601	-0.032948929159798884	-0.06600660066006575	-0.02955665024630549	-0.06280667320902858	-0.02888086642599384	-0.04756756756756748	-0.04177545691905866	0.34633027522935794	0.021365890881343334	-0.043956043956042114	0.03752345215759832	0.009358288770053626	-0.023952095808380765	-0.023952095808380765	-0.043956043956042114	-0.02888086642599384	-0.057731958762886	-0.04177545691905866	-0.032948929159798884	0.010735373054213723	0.04040404040404053	0.20242537313432887	0.03479881932577293	-0.050436469447137804	-0.0637232589895307	-0.023952095808380765	-0.02888086642599384	-0.060913705583755716	-0.06133625410733825	-0.059479553903345125	-0.06600660066006575	-0.06046511627907005	-0.06400000000000038	-0.05277044854881111	-0.04096742349457035	-0.030342156229825636	-0.06312769010043032	0.6586826347305383	-0.06133625410733825	-0.023952095808380765	-0.0392706872370257	-0.023952095808380765	-0.023952095808380765	0.0037453183520598896	-0.0392706872370257	0.010735373054213723	-0.027027027027026765
transcription regulatory region sequence-specific DNA binding	-0.047327394209355014	0.46921883083290244	0.42873051224944375	-0.054706355591311075	1.0	0.9310761789600961	0.774182898646418	0.8323200627574031	0.9310761789600961	0.8227979274611403	0.38602620087336237	0.631663974151858	-0.13095238095238035	-0.11390284757118871	0.11989100817438716	0.5064080360235541	0.5185358986391366	0.600363541937159	0.5712136409227685	-0.06156233833419513	0.061271471577828494	-0.054706355591311075	-0.08965062623599165	-0.06794903822133425	-0.13171912832929836	0.4852133876394545	-0.027772020725387956	0.24251069900142633	0.5622866894197954	0.263565891472868	0.43118503118503126	0.6344591705857204	0.22043443282381295	0.5856219709208399	0.6344591705857204	-0.039363241678725645	-0.047327394209355014	-0.0307414104882463	-0.07391304347826096	0.4033496161898115	0.1287208366854386	0.5064080360235541	0.3540035013360362	0.4033496161898115	-0.1066875858011379	0.13581806696146614	-0.054706355591311075	-0.047327394209355014	-0.13095238095238035	0.41237113402061837	0.6012892607324098	0.25759768451519516	0.5351155414589939	-0.06794903822133425	-0.07949497311199345	0.4946578767901794	0.09130434782608689	0.25281717133001147	0.4216459977452087	-0.0307414104882463	0.17540687160940296	0.17391304347826145	-0.039363241678725645	0.8817427385892116	0.3592305770671988	0.14309576837416407	0.1486338797814207	0.263565891472868	-0.15280898876404483	-0.11788661451077048	-0.0942832764505129	-0.06569722150090869	0.07233273056057826	0.158610709117222	0.6893732970027249	0.6703247812546342	0.7515738498789343	0.359126984126984	0.392023496676457	0.541905855338691	-0.10278113663845212	0.2747859486276708	0.4033496161898115	0.5856219709208399	-0.0307414104882463	0.46744772356517855	0.07233273056057826	-0.06156233833419513	0.17540687160940296	-0.0307414104882463	0.38602620087336237	0.5576823590274183	0.1486338797814207	0.44099968364441605
RNA polymerase II regulatory region sequence-specific DNA binding	-0.045871559633028455	0.5185810810810815	0.4770642201834853	-0.05277044854881111	0.9310761789600961	1.0	0.7055785123966944	0.8226509023024273	0.926923076923077	0.8869795109054854	0.34482758620689646	0.5735660847880296	-0.11313131313131311	-0.10582010582010538	0.14124293785310793	0.45599151643690333	0.4672897196261681	0.5440000000000002	0.5165767154973013	-0.059121621621620706	0.07910863509749384	-0.05277044854881111	-0.08456659619450392	-0.06498781478472843	-0.12102874432677752	0.5236768802228412	-0.017184401850627962	0.21459227467811182	0.533424283765348	0.2335456475583867	0.3863204559848003	0.5721854304635764	0.24802110817941977	0.5261845386533668	0.5721854304635764	-0.03835091083413263	-0.045871559633028455	-0.03012048192770943	-0.07042253521126689	0.3607153682934225	0.14775725593667663	0.45599151643690333	0.3155543144373081	0.3607153682934225	-0.09956440572495275	0.15763546798029526	-0.05277044854881111	-0.045871559633028455	-0.11313131313131311	0.3690036900369007	0.5409071640525644	0.2895493767976996	0.5014577259475221	-0.06498781478472843	-0.07547169811320645	0.44506258692628653	0.018779342723005334	0.22386337410570026	0.3775351014040561	-0.03012048192770943	0.19879518072289268	0.19718309859154967	-0.03835091083413263	0.8143322475570027	0.30544272948822043	0.05871559633027434	0.13071895424836613	0.2335456475583867	-0.13860578883000338	-0.11086261980830671	-0.08867667121418789	-0.04879999999999966	0.08433734939759162	0.1802492809204215	0.6242937853107348	0.6061722708429294	0.6838124054462933	0.3474747474747473	0.42368801155512775	0.48527679623085956	-0.09615384615384591	0.24366706875753907	0.3607153682934225	0.5261845386533668	-0.03012048192770943	0.44864117918010166	-0.03012048192770943	-0.059121621621620706	0.19879518072289268	-0.03012048192770943	0.34482758620689646	0.5185810810810815	0.13071895424836613	0.3953712632594025
RNA polymerase II transcription factor activity, sequence-specific DNA binding	-0.05046072838964391	0.3598169717138108	0.3247038174637996	-0.058936579115950946	0.774182898646418	0.7055785123966944	1.0	0.7982470925332881	0.7055785123966944	0.7291923279957768	0.4717775905644482	0.7453462397617274	-0.14500941619585686	-0.07860262008733598	0.20443349753694603	0.6461940542306435	0.6601898873923601	0.7530091478093405	0.7202617433979899	-0.06697171381031539	0.016477537696253982	-0.058936579115950946	-0.10160132523467698	-0.07459963511047997	-0.10990913024664603	0.707601430125913	-0.053140946683089836	0.3253182461103255	0.5692695214105788	0.3521224773834379	0.557963809902565	0.7551737602499021	0.30621396540679013	0.7029039463886817	0.7551737602499021	0.03564177757726239	-0.05046072838964391	-0.03203342618384344	-0.08185053380782972	0.5246812997220361	0.08712363869314568	0.6461940542306435	0.4648126620763658	0.5246812997220361	-0.12405191302882226	0.17625389628790036	-0.058936579115950946	-0.05046072838964391	-0.18079096045197732	0.5355064027939466	0.7197781419387372	0.2670877509587188	0.4845516201959311	-0.07459963511047997	-0.08875168821145998	0.6325741297808338	0.12099644128113826	0.3384662064780398	0.5465972699597367	-0.03203342618384344	0.20612813370473582	0.2562277580071169	0.03564177757726239	0.7392497712717289	0.3413744171903509	0.17463799912242192	0.20309050772626946	0.3521224773834379	-0.1493339850910425	-0.17686257373825648	-0.10759265922993913	-0.07029369282619109	0.20612813370473582	0.1127904353710807	0.812807881773399	0.7929503565182298	0.8766767633059285	0.534839924670433	0.5952944452178754	0.6552828175026684	-0.11880165289256094	0.3663171174012458	0.5246812997220361	0.7029039463886817	-0.03203342618384344	0.56289519709404	0.20612813370473582	-0.06697171381031539	0.1267409470752094	-0.03203342618384344	0.5037910699241784	0.4309484193011651	0.20309050772626946	0.5696164300815466
transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	-0.04663363450888993	0.4928552170396332	0.4517633343048664	-0.05378151260504212	0.8323200627574031	0.8226509023024273	0.7982470925332881	1.0	0.8935905413814559	0.8539085860743274	0.3655536028119508	0.6030315444489962	-0.084084084084084	-0.0446735395188999	0.1830790568654648	0.48145556333100054	0.4931831653823354	0.5725562425996576	0.5442315014595759	-0.06039363709894828	0.06997824510514825	-0.05378151260504212	-0.08719346049046338	-0.06652806652806606	-0.0701581027667992	0.5039883973894127	-0.02263989747970852	0.22857142857142856	0.5106757649130529	0.24858757062146908	0.40892426940400106	0.6533449174630755	0.3294117647058823	0.6030315444489962	0.6533449174630755	0.06500607533414171	-0.04663363450888993	-0.03044719314938158	-0.0722347629796832	0.38217583299879576	0.1378151260504201	0.48145556333100054	0.33487682904241534	0.38217583299879576	-0.10322580645161358	0.20157784575752688	-0.05378151260504212	-0.04663363450888993	-0.12212212212212242	0.3908396946564885	0.6191536748329621	0.27278250303766555	0.4787807737397425	-0.06652806652806606	-0.07755695588948205	0.4701021462182943	0.09932279909706604	0.238365842420519	0.3997522196985339	-0.03044719314938158	0.2949571836346345	0.2708803611738153	0.06500607533414171	0.7278514588859415	0.3778586278586273	0.15272515301661282	0.13966175668303332	0.24858757062146908	-0.09997319753417232	-0.086961166604348	-0.09156944750165077	-0.012366793842915386	0.1864890580399618	0.16889428918590463	0.7101248266296809	0.6904043452021728	0.7747035573122529	0.41041041041041015	0.4075590551181103	0.5581395348837208	-0.09956440572495275	0.2592652013476657	0.38217583299879576	0.6030315444489962	-0.03044719314938158	0.4840072420036212	0.1864890580399618	-0.06039363709894828	0.1864890580399618	-0.03044719314938158	0.3655536028119508	0.5850633593960644	0.13966175668303332	0.41836734693877536
core promoter proximal region sequence-specific DNA binding	-0.045871559633028455	0.5185810810810815	0.4770642201834853	-0.05277044854881111	0.9310761789600961	0.926923076923077	0.7055785123966944	0.8935905413814559	1.0	0.8116325181758095	0.34482758620689646	0.5735660847880296	-0.11313131313131311	-0.10582010582010538	0.14124293785310793	0.45599151643690333	0.4672897196261681	0.5440000000000002	0.5165767154973013	-0.059121621621620706	0.07910863509749384	-0.05277044854881111	-0.08456659619450392	-0.06498781478472843	-0.12102874432677752	0.4601671309192207	-0.017184401850627962	0.21459227467811182	0.533424283765348	0.2335456475583867	0.3863204559848003	0.5721854304635764	0.24802110817941977	0.5261845386533668	0.5721854304635764	-0.03835091083413263	-0.045871559633028455	-0.03012048192770943	-0.07042253521126689	0.3607153682934225	0.14775725593667663	0.45599151643690333	0.3155543144373081	0.3607153682934225	-0.09956440572495275	0.15763546798029526	-0.05277044854881111	-0.045871559633028455	-0.11313131313131311	0.3690036900369007	0.5409071640525644	0.2895493767976996	0.5014577259475221	-0.06498781478472843	-0.07547169811320645	0.44506258692628653	0.1079812206572776	0.22386337410570026	0.3775351014040561	-0.03012048192770943	0.19879518072289268	0.19718309859154967	-0.03835091083413263	0.8143322475570027	0.3980503655564585	0.16330275229357724	0.13071895424836613	0.2335456475583867	-0.13860578883000338	-0.09265175718849841	-0.08867667121418789	-0.04879999999999966	0.08433734939759162	0.1802492809204215	0.6242937853107348	0.6061722708429294	0.6838124054462933	0.3474747474747473	0.36880115551275866	0.48527679623085956	-0.09615384615384591	0.24366706875753907	0.3607153682934225	0.5261845386533668	-0.03012048192770943	0.44864117918010166	0.08433734939759162	-0.059121621621620706	0.19879518072289268	-0.03012048192770943	0.34482758620689646	0.6148648648648652	0.13071895424836613	0.3953712632594025
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	-0.04503055644901717	0.44594992636229713	0.394982309424253	-0.051660516605166934	0.8227979274611403	0.8869795109054854	0.7291923279957768	0.8539085860743274	0.8116325181758095	1.0	0.32384341637010683	0.5432307043441585	-0.10397553516819587	-0.10144927536231922	0.15251798561151084	0.43000000000000005	0.4408380767833354	0.5146641438032168	0.4882238126219909	-0.05773195876288588	0.023601065854587298	-0.051660516605166934	-0.08175182481751798	-0.06331260599208571	-0.1153450051493302	0.6094404263418352	-0.011373976342128925	0.20057306590257878	0.47731013402304306	0.21843971631205672	0.3633655994043188	0.5906642728904847	0.26383763837638363	0.5432307043441585	0.5906642728904847	-0.0377612946729601	-0.04503055644901717	-0.029755579171093876	-0.06845965770170982	0.33896236012207515	0.05350553505535065	0.43000000000000005	0.29603293413173665	0.33896236012207515	-0.0956856044425456	0.16920757245769777	-0.051660516605166934	-0.04503055644901717	-0.10397553516819587	0.3468566119541655	0.5583931133428983	0.19285232636547547	0.43962692210738613	-0.06331260599208571	-0.07322175732217641	0.41952475711108517	0.02444987775061189	0.20930949445129488	0.35498742665549043	-0.029755579171093876	0.21253985122210456	0.21026894865525733	-0.0377612946729601	0.7148415786548085	0.3233465234595818	0.06497266001929947	0.1218053289831431	0.21843971631205672	-0.13120176405733192	-0.0983067041775042	-0.08558664472137242	0.00621705635896761	0.21253985122210456	0.0775455158462587	0.6446043165467626	0.62582056892779	0.7064881565396499	0.36085626911314983	0.49640052356020936	0.5011933174224346	-0.0925313945803033	0.2279909706546277	0.33896236012207515	0.5432307043441585	-0.029755579171093876	0.41200375117224153	-0.029755579171093876	-0.05773195876288588	0.09139213602550429	-0.029755579171093876	0.32384341637010683	0.44594992636229713	0.1218053289831431	0.3720025923525598
