InitialGene	Selection	GeneType	GeneID	Symbol Name	Input Gene ID	Gene Aliases
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850745	ERG3	ERG3	[PSO6, SYR1, YLR056W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850971	PDR8	PDR8	[YLR266C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851372	GCS1	GCS1	[YDL226C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851542	RPN4	RPN4	[SON1, UFD5, YDL020C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852489	RPL21A	RPL21A	[URP1, YBR191W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852871	PDR1	PDR1	[AMY1, ANT1, BOR2, CYH3, NRA2, SMR2, TIL1, TPE1, TPE3, YGL013C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852872	ERG4	ERG4	[YGL012W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853111	SNG1	SNG1	[YGR197C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853334	GZF3	GZF3	[DEH1, NIL2, YJL110C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853566	VPS25	VPS25	[VPL12, VPT25, YJR102C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853569	ADO1	ADO1	[YJR105W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853854	PUT3	PUT3	[YKL015W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854333	YRR1	YRR1	[PDR2, YOR162C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854343	YRM1	YRM1	[YOR172W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854562	RDR1	RDR1	[YOR380W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854899	WAR1	WAR1	[YML076C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855005	YAP1	YAP1	[PAR1, PDR4, SNQ3, YML007W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855029	ERG5	ERG5	[CYP61, YMR015C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855323	CAT8	CAT8	[DIL1, MSP8, YMR280C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855480	ZWF1	ZWF1	[MET19, POS10, YNL241C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855828	GAL4	GAL4	[GAL81, YPL248C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	856062	VPS16	VPS16	[CVT15, SVL6, VAM9, VPT16, YPL045W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	856583	STB5	STB5	[YHR178W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	856817	GET2	GET2	[HUR2, RMD7, YER083C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	856899	BEM2	BEM2	[IPL2, SUP9, TSL1, YER155C]
false	Cluster #1: IDs not found!	-	-	-	BUD28	-
false	Cluster #1: IDs not found!	-	-	-	VFH1	-
false	Cluster #1: IDs not found!	-	-	-	VPS61	-
