NAME	ClusterOrigin	EntrezGeneID	Aliases	GeneType	Origin	Functions
CAT8	Cluster#1	855323	[DIL1, MSP8, YMR280C]	protein_coding	Initial Gene From Selection	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus | cellular response to nutrient | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding
ERG3	Cluster#1	850745	[PSO6, SYR1, YLR056W]	protein_coding	Initial Gene From Selection	ergosterol biosynthetic process
ERG4	Cluster#1	852872	[YGL012W]	protein_coding	Initial Gene From Selection	ergosterol biosynthetic process
ERG5	Cluster#1	855029	[CYP61, YMR015C]	protein_coding	Initial Gene From Selection	ergosterol biosynthetic process
GAL4	Cluster#1	855828	[GAL81, YPL248C]	protein_coding	Initial Gene From Selection	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus | cellular response to nutrient | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding
GZF3	Cluster#1	853334	[DEH1, NIL2, YJL110C]	protein_coding	Initial Gene From Selection	cellular response to nutrient | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding | RNA polymerase II regulatory region sequence-specific DNA binding
PDR1	Cluster#1	852871	[AMY1, ANT1, BOR2, CYH3, NRA2, SMR2, TIL1, TPE1, TPE3, YGL013C]	protein_coding	Initial Gene From Selection	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus | cellular response to nutrient | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding
PDR8	Cluster#1	850971	[YLR266C]	protein_coding	Initial Gene From Selection	regulation of transcription from RNA polymerase II promoter in response to stress | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding | RNA polymerase II regulatory region sequence-specific DNA binding
PUT3	Cluster#1	853854	[YKL015W]	protein_coding	Initial Gene From Selection	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding | RNA polymerase II regulatory region sequence-specific DNA binding | RNA polymerase II transcription factor activity, sequence-specific DNA binding
RDR1	Cluster#1	854562	[YOR380W]	protein_coding	Initial Gene From Selection	RNA polymerase II transcription factor activity, sequence-specific DNA binding
RPN4	Cluster#1	851542	[SON1, UFD5, YDL020C]	protein_coding	Initial Gene From Selection	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus | regulation of transcription from RNA polymerase II promoter in response to stress | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding
STB5	Cluster#1	856583	[YHR178W]	protein_coding	Initial Gene From Selection	regulation of transcription from RNA polymerase II promoter in response to oxidative stress | regulation of transcription from RNA polymerase II promoter in response to stress | RNA polymerase II transcription factor activity, sequence-specific DNA binding
VPS25	Cluster#1	853566	[VPL12, VPT25, YJR102C]	protein_coding	Initial Gene From Selection	cellular response to nutrient
WAR1	Cluster#1	854899	[YML076C]	protein_coding	Initial Gene From Selection	RNA polymerase II transcription factor activity, sequence-specific DNA binding | sequence-specific DNA binding
YAP1	Cluster#1	855005	[PAR1, PDR4, SNQ3, YML007W]	protein_coding	Initial Gene From Selection	regulation of transcription from RNA polymerase II promoter in response to oxidative stress | regulation of transcription from RNA polymerase II promoter in response to stress | sequence-specific DNA binding
YRM1	Cluster#1	854343	[YOR172W]	protein_coding	Initial Gene From Selection	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding | RNA polymerase II regulatory region sequence-specific DNA binding | RNA polymerase II transcription factor activity, sequence-specific DNA binding
YRR1	Cluster#1	854333	[PDR2, YOR162C]	protein_coding	Initial Gene From Selection	regulation of transcription from RNA polymerase II promoter in response to oxidative stress | regulation of transcription from RNA polymerase II promoter in response to stress | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding
ZWF1	Cluster#1	855480	[MET19, POS10, YNL241C]	protein_coding	Initial Gene From Selection	cellular response to nutrient
