LeadingGOTerm	GOID	GOTerm	Ontology Source	Term PValue	Term PValue Corrected with Benjamini-Hochberg	Group PValue	Group PValue Corrected with Benjamini-Hochberg	GOLevels	GOGroups	% Associated Genes	Nr. Genes	Associated Genes Found
true	GO:0000281	mitotic cytokinesis	GO_BiologicalProcess-GOA_17.11.2016_10h53	0.030530224056195876	0.03365263333467045	0.030530224056195876	0.030530224056195876	[4, 5, 6, 7]	Group00	5.479452	4	[ELM1, END3, ERV14, RIM101]
false	GO:0000329	fungal-type vacuole membrane	GO_CellularComponent-GOA_17.11.2016_10h53	0.028473816351365453	0.031746668805545386	0.01696142744173605	0.02204985567425687	[5, 6, 7, 8, 9, 10, 11]	Group01	4.195804	6	[BSD2, TPO1, VMA2, VMA8, VPS1, VPS16]
true	GO:0030641	regulation of cellular pH	GO_BiologicalProcess-GOA_17.11.2016_10h53	0.0173563972748661	0.02158423763669246	0.01696142744173605	0.02204985567425687	[8, 9]	Group01	8.823529	3	[RAV1, VMA2, VMA8]
false	GO:0044262	cellular carbohydrate metabolic process	GO_BiologicalProcess-GOA_17.11.2016_10h53	0.014425830103020771	0.018411914736750197	0.004042794063231008	0.0058395914246670115	[3, 4]	Group02	4.0609136	8	[BEM2, CAT8, GAS1, GPH1, KRE6, REG1, RPE1, SNF6]
true	GO:0044723	single-organism carbohydrate metabolic process	GO_BiologicalProcess-GOA_17.11.2016_10h53	0.0025975078787743473	0.004199304404018528	0.004042794063231008	0.0058395914246670115	[3, 4]	Group02	4.3307085	11	[BEM2, CAT8, ELM1, GAL4, GAS1, GPH1, KRE6, REG1, RPE1, SNF6, ZWF1]
false	GO:0005996	monosaccharide metabolic process	GO_BiologicalProcess-GOA_17.11.2016_10h53	0.023875725083505026	0.027246415683529267	0.004042794063231008	0.0058395914246670115	[4, 5]	Group02	4.9504952	5	[CAT8, ELM1, GAL4, RPE1, ZWF1]
false	GO:0006073	cellular glucan metabolic process	GO_BiologicalProcess-GOA_17.11.2016_10h53	0.022017573239783733	0.02636672350937064	0.004042794063231008	0.0058395914246670115	[5, 6]	Group02	6.060606	4	[GAS1, GPH1, KRE6, REG1]
false	GO:0008610	lipid biosynthetic process	GO_BiologicalProcess-GOA_17.11.2016_10h53	0.006637239102448171	0.009467826366727538	0.02448331108973964	0.026523587013884613	[4]	Group03	4.30622	9	[CHO1, ERG2, ERG24, ERG3, ERG4, ERG5, ERG6, SAC1, SCS7]
false	GO:0005506	iron ion binding	GO_MolecularFunction-GOA_17.11.2016_10h53	0.014725483340942454	0.018550284208719715	0.02448331108973964	0.026523587013884613	[6]	Group03	9.375	3	[ERG3, ERG5, SCS7]
true	GO:0006696	ergosterol biosynthetic process	GO_BiologicalProcess-GOA_17.11.2016_10h53	6.869967279782715E-6	6.058062055808394E-5	0.02448331108973964	0.026523587013884613	[5, 6, 7]	Group03	20.0	6	[ERG2, ERG24, ERG3, ERG4, ERG5, ERG6]
false	GO:0030176	integral component of endoplasmic reticulum membrane	GO_CellularComponent-GOA_17.11.2016_10h53	0.030530224056195876	0.03365263333467045	0.02448331108973964	0.026523587013884613	[3, 4, 5, 6, 7, 8, 9, 10, 11]	Group03	5.479452	4	[ERG24, ERG4, KRE6, SAC1]
false	GO:0006338	chromatin remodeling	GO_BiologicalProcess-GOA_17.11.2016_10h53	6.437960599783399E-4	0.0012744534248550808	0.017017703244721117	0.020111831107397685	[5]	Group04	7.6923075	7	[ARP6, HTZ1, SNF6, SWC3, SWC5, VPS72, YAF9]
false	GO:0070603	SWI/SNF superfamily-type complex	GO_CellularComponent-GOA_17.11.2016_10h53	4.280857843975524E-4	9.886743115848234E-4	0.017017703244721117	0.020111831107397685	[3, 4, 5, 6, 7, 8, 9]	Group04	9.836065	6	[ARP6, SNF6, SWC3, SWC5, VPS72, YAF9]
false	GO:0043486	histone exchange	GO_BiologicalProcess-GOA_17.11.2016_10h53	1.701057256961666E-5	9.166808551404534E-5	0.017017703244721117	0.020111831107397685	[6, 7]	Group04	23.809525	5	[ARP6, SWC3, SWC5, VPS72, YAF9]
false	GO:0000790	nuclear chromatin	GO_CellularComponent-GOA_17.11.2016_10h53	0.006678997164230262	0.009389314854062834	0.017017703244721117	0.020111831107397685	[3, 5, 6, 7, 8, 9, 10, 11, 12]	Group04	5.109489	7	[ARP6, HTZ1, SPT4, SWC3, SWC5, VPS72, YAF9]
true	GO:0000812	Swr1 complex	GO_CellularComponent-GOA_17.11.2016_10h53	2.7124399243148354E-6	2.6310667265853903E-5	0.017017703244721117	0.020111831107397685	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	Group04	33.333332	5	[ARP6, SWC3, SWC5, VPS72, YAF9]
true	GO:0007034	vacuolar transport	GO_BiologicalProcess-GOA_17.11.2016_10h53	6.667477984355851E-8	3.233726822412588E-6	1.9879186062478208E-8	1.2921470940610834E-7	[4]	Group05	8.87574	15	[ARL1, BSD2, COG5, COG7, COG8, IRS4, STP22, TLG2, VPS1, VPS16, VPS25, VPS28, VPS36, VPS52, VPS9]
