InitialGene	Selection	GeneType	GeneID	Symbol Name	Input Gene ID	Gene Aliases
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850328	BIK1	BIK1	[ARM5, PAC14, YCL029C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850349	STP22	STP22	[AGS1, VPL15, VPS23, YCL008C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850395	RIM1	RIM1	[YCR028C-A]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850456	CDC50	CDC50	[YCR094W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850631	TPO1	TPO1	[YLL028W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850728	RIC1	RIC1	[YLR039C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850745	ERG3	ERG3	[PSO6, SYR1, YLR056W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850774	ARP6	ARP6	[YLR085C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850882	RPL37A	RPL37A	[YLR185W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850945	MAP1	MAP1	[YLR244C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	850965	VPS63	VPS63	[YLR261C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850966	YPT6	YPT6	[YLR262C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	850971	PDR8	PDR8	[YLR266C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851135	VPS36	VPS36	[GRD12, VAC3, VPL11, YLR417W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	851169	RPL6B	RPL6B	[YLR448W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851222	SWC3	SWC3	[SWC1, YAL011W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851542	RPN4	RPN4	[SON1, UFD5, YDL020C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851567	RAD57	RAD57	[YDR004W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851592	REG1	REG1	[HEX2, PZF240, SPP43, SRN1, YDR028C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851740	NBP2	NBP2	[YDR162C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851756	NGG1	NGG1	[ADA3, SWI7, YDR176W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	851877	GCN2	GCN2	[AAS1, AAS102, NDR2, YDR283C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852095	VPS52	VPS52	[SAC2, YDR484W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852096	VPS72	VPS72	[SWC2, YDR485C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852224	PTC3	PTC3	[YBL056W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852424	VMA2	VMA2	[VAT2, YBR127C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852462	ARL1	ARL1	[DLP2, YBR164C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852499	BEM1	BEM1	[SRO1, YBR200W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852532	SWC5	SWC5	[AOR1, YBR231C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852593	BSD2	BSD2	[YBR290W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852826	ERV14	ERV14	[YGL054C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852871	PDR1	PDR1	[AMY1, ANT1, BOR2, CYH3, NRA2, SMR2, TIL1, TPE1, TPE3, YGL013C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852872	ERG4	ERG4	[YGL012W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852879	COG7	COG7	[COD5, YGL005C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	852925	ACB1	ACB1	[YGR037C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	852955	SPT4	SPT4	[YGR063C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853075	MRPS35	MRPS35	[YGR165W, mS45]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853322	RPE1	RPE1	[EPI1, POS18, YJL121C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853334	GZF3	GZF3	[DEH1, NIL2, YJL110C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853490	RAV1	RAV1	[SOI3, YJR033C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853526	RPA12	RPA12	[RRN4, YJR063W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853566	VPS25	VPS25	[VPL12, VPT25, YJR102C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853668	SAC1	SAC1	[RSD1, YKL212W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	853669	TRP3	TRP3	[YKL211C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853818	ELM1	ELM1	[LDB9, YKL048C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853854	PUT3	PUT3	[YKL015W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853870	VPS1	VPS1	[GRD1, LAM1, SPO15, VPL1, VPT26, YKR001C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853889	IRS4	IRS4	[YKR019C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	853890	VPS51	VPS51	[API3, VPS67, WHI6, YKR020W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854142	TLG2	TLG2	[YOL018C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854150	HTZ1	HTZ1	[HTA3, YOL012C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854200	SHE4	SHE4	[DIM1, YOR035C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854236	GYP1	GYP1	[YOR070C, YOR29-21]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854333	YRR1	YRR1	[PDR2, YOR162C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854343	YRM1	YRM1	[YOR172W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854500	LDB19	LDB19	[ART1, YOR322C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854562	RDR1	RDR1	[YOR380W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854876	VPS9	VPS9	[VPL31, VPT9, YML097C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854899	WAR1	WAR1	[YML076C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854904	COG8	COG8	[DOR1, YML071C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	854915	TUB3	TUB3	[YML124C]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	854924	ATR1	ATR1	[SNQ1, YML116W]
false	Cluster #1: Functionally annotated IDs not passing criteria	protein_coding	854929	BUL2	BUL2	[YML111W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855003	ERG6	ERG6	[ISE1, LIS1, SED6, VID1, YML008C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855005	YAP1	YAP1	[PAR1, PDR4, SNQ3, YML007W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855029	ERG5	ERG5	[CYP61, YMR015C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855238	CIK1	CIK1	[YMR198W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855242	ERG2	ERG2	[END11, YMR202W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855315	SCS7	SCS7	[FAH1, YMR272C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855323	CAT8	CAT8	[DIL1, MSP8, YMR280C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855355	GAS1	GAS1	[CWH52, GGP1, YMR307W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855441	ERG24	ERG24	[YNL280C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855480	ZWF1	ZWF1	[MET19, POS10, YNL241C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855616	YAF9	YAF9	[YNL107W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855640	END3	END3	[YNL084C]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855676	COG5	COG5	[API4, COD4, YNL051W]
true	Cluster #1: Functionally annotated IDs passing criteria	protein_coding	855706	SSN8	SSN8	[CNC1, GIG3, NUT9, RYE2, SRB11, UME3, YNL025C]
