NAME	negative regulation of transcription from RNA polymerase II promoter	Golgi membrane	mitotic cytokinesis	response to reactive oxygen species	fungal-type vacuole membrane	carbon catabolite regulation of transcription from RNA polymerase II promoter	nuclear chromatin	Swr1 complex	RNA polymerase II regulatory region sequence-specific DNA binding	RNA polymerase II transcription factor activity, sequence-specific DNA binding	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	core promoter proximal region sequence-specific DNA binding	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	double-stranded DNA binding	iron ion binding	endosome	late endosome	Golgi apparatus	trans-Golgi network	microtubule	monosaccharide metabolic process	cellular glucan metabolic process	chromatin remodeling	transcription, DNA-templated	regulation of transcription, DNA-templated	regulation of transcription from RNA polymerase II promoter	transcription from RNA polymerase II promoter	protein targeting	ergosterol biosynthetic process	NADP metabolic process	intracellular protein transport	intra-Golgi vesicle-mediated transport	post-Golgi vesicle-mediated transport	endocytosis	response to oxidative stress	vacuolar transport	microtubule binding	cytoskeletal protein binding	zinc ion binding	lipid biosynthetic process	positive regulation of macromolecule biosynthetic process	negative regulation of macromolecule metabolic process	positive regulation of gene expression	negative regulation of gene expression	regulation of cell communication	organophosphate ester transport	ATP transport	vesicle-mediated transport	endosomal transport	cytosolic transport	Golgi transport complex	Rab GTPase binding	integral component of endoplasmic reticulum membrane	nuclear migration along microtubule	regulation of cellular pH	positive regulation of cellular biosynthetic process	cytoplasmic vesicle	cellular response to nutrient levels	cellular response to nutrient	organelle subcompartment	CVT pathway	maintenance of protein location in cell	late endosome to vacuole transport via multivesicular body sorting pathway	protein localization to organelle	protein localization to Golgi apparatus	ESCRT complex	retrograde transport, endosome to Golgi	protein homodimerization activity	ubiquitin binding	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	histone exchange	positive regulation of GTPase activity	sequence-specific DNA binding	regulation of transcription from RNA polymerase II promoter in response to stress	regulation of transcription from RNA polymerase II promoter in response to oxidative stress	cellular carbohydrate metabolic process	Golgi apparatus part	single-organism carbohydrate metabolic process	carbon catabolite repression of transcription	late endosome to vacuole transport	positive regulation of nucleobase-containing compound metabolic process	positive regulation of transcription from RNA polymerase II promoter	carbon catabolite activation of transcription	transition metal ion binding	protein heterodimerization activity	protein dimerization activity	Golgi vesicle transport	organelle fusion	regulation of response to stimulus	SWI/SNF superfamily-type complex	cellular response to chemical stimulus	cellular response to abiotic stimulus	cellular response to pH	establishment of protein localization to organelle	regulation of cellular response to stress	establishment of protein localization to membrane	bounding membrane of organelle	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	negative regulation of intracellular signal transduction
negative regulation of transcription from RNA polymerase II promoter	1.0	-0.09630266552020675	0.12969283276450502	-0.05198019801980114	-0.08227228207639603	0.2842105263157902	-0.08974358974359013	-0.07368421052631516	0.25872093023255804	0.21607378129117216	0.17341977309562398	0.035656401944895035	0.17341977309562398	0.1976085588420389	-0.05198019801980114	0.13517441860465157	0.10526315789473675	-0.12940496822645872	-0.05198019801980114	-0.06370875995449499	-0.07368421052631516	0.12969283276450502	-0.08974358974359013	0.2477876106194692	0.2588071154516916	0.38958707360861766	0.38958707360861766	0.0783132530120484	-0.08227228207639603	-0.06370875995449499	0.03806584362139887	-0.07368421052631516	-0.07368421052631516	-0.08227228207639603	-0.08227228207639603	0.0783132530120484	-0.05198019801980114	-0.08227228207639603	0.0906230333543107	-0.1021069692058344	0.2452830188679248	0.5283018867924529	0.26343154246100514	0.6255506607929517	-0.08227228207639603	0.25073457394711024	0.2842105263157902	-0.13683127572016474	0.13517441860465157	-0.08974358974359013	-0.05198019801980114	-0.05198019801980114	-0.06370875995449499	-0.05198019801980114	-0.05198019801980114	0.2452830188679248	0.0906230333543107	0.5058139534883722	0.4883920894239037	-0.08227228207639603	0.08423114593535733	0.3688118811881197	0.3230944254835037	0.13774693005872915	0.15841584158415845	0.3230944254835037	-0.06370875995449499	0.15841584158415845	0.15841584158415845	0.3230944254835037	-0.07368421052631516	-0.07368421052631516	0.18072289156626495	0.10526315789473675	-0.05198019801980114	0.0498710232158203	-0.1233480176211459	0.011627906976743901	0.3688118811881197	0.25073457394711024	0.26343154246100514	0.28313253012048184	0.12969283276450502	0.0566037735849054	-0.05198019801980114	0.08423114593535733	-0.11191860465116261	-0.07368421052631516	0.035656401944895035	-0.08227228207639603	0.4598497978047373	0.10526315789473675	0.15841584158415845	0.0783132530120484	0.08423114593535733	-0.07368421052631516	-0.009832036050798607	0.12969283276450502	-0.05198019801980114
Golgi membrane	-0.09630266552020675	1.0	0.11087866108786551	-0.05411499436302192	-0.08775137111517292	-0.07804878048780448	-0.09630266552020675	-0.07804878048780448	-0.12230715774843677	-0.131896005072923	-0.11068408916218266	-0.11068408916218266	-0.11068408916218266	-0.13608748481166416	-0.05411499436302192	-0.12230715774843677	-0.07804878048780448	0.6188340807174888	-0.05411499436302192	-0.06694560669455976	-0.07804878048780448	0.11087866108786551	-0.09630266552020675	-0.12106865065945227	-0.1184210526315789	-0.16232906925452123	-0.16232906925452123	0.15743440233236153	-0.08775137111517292	-0.06694560669455976	0.18884982420893998	0.4195121951219512	-0.07804878048780448	-0.08775137111517292	-0.08775137111517292	0.15743440233236153	-0.05411499436302192	-0.08775137111517292	-0.13608748481166416	0.019984627209838398	-0.1467889908256884	-0.1467889908256884	-0.14349775784753369	-0.13608748481166416	0.06764168190127982	-0.08775137111517292	-0.07804878048780448	0.35961828227021564	-0.0041695621959701576	0.0498710232158203	0.5208568207440808	0.13754227733934504	0.2887029288702932	-0.05411499436302192	-0.05411499436302192	-0.1467889908256884	0.07047387606318412	-0.12230715774843677	-0.10389610389610393	0.06764168190127982	0.3784277879341868	-0.05411499436302192	-0.06694560669455976	0.203954214360042	-0.05411499436302192	-0.06694560669455976	0.11087866108786551	-0.05411499436302192	-0.05411499436302192	-0.06694560669455976	-0.07804878048780448	0.08780487804878094	-0.1399416909620994	-0.07804878048780448	-0.05411499436302192	0.034090909090908575	0.690157958687728	-0.0041695621959701576	-0.05411499436302192	-0.08775137111517292	-0.14349775784753369	-0.1399416909620994	-0.06694560669455976	-0.1467889908256884	-0.05411499436302192	-0.08775137111517292	0.4683808200138985	-0.07804878048780448	0.019984627209838398	-0.08775137111517292	-0.14349775784753369	-0.07804878048780448	-0.05411499436302192	0.15743440233236153	-0.08775137111517292	0.08780487804878094	0.38156831042845607	-0.06694560669455976	-0.05411499436302192
mitotic cytokinesis	0.12969283276450502	0.11087866108786551	1.0	-0.042031523642729475	-0.05985037406483844	-0.05517241379310436	-0.06370875995449499	-0.05517241379310436	-0.07413647851726989	0.04921700223713615	0.09486931268151043	-0.06969990319457788	-0.06969990319457788	-0.07898448519040874	-0.042031523642729475	0.0690817186183656	-0.05517241379310436	0.026717557251907997	-0.042031523642729475	-0.04938271604938143	0.17931034482758568	-0.04938271604938143	-0.06370875995449499	-0.03262755987504326	-0.030670470756062718	-0.006631927996210351	-0.006631927996210351	-0.08026755852842828	-0.05985037406483844	-0.04938271604938143	-0.08430393788130809	-0.05517241379310436	-0.05517241379310436	0.1521197007481286	-0.05985037406483844	-0.08026755852842828	-0.042031523642729475	0.1521197007481286	-0.07898448519040874	-0.06969990319457788	0.020618556701031132	0.020618556701031132	0.026717557251907997	0.04090267983074683	0.1521197007481286	-0.05985037406483844	-0.05517241379310436	0.1042706600110931	-0.07413647851726989	-0.06370875995449499	-0.042031523642729475	-0.042031523642729475	-0.04938271604938143	-0.042031523642729475	-0.042031523642729475	0.020618556701031132	0.1607898448519041	-0.07413647851726989	-0.06694560669455976	-0.05985037406483844	-0.05985037406483844	-0.042031523642729475	-0.04938271604938143	0.015063731170336353	-0.042031523642729475	-0.04938271604938143	-0.04938271604938143	-0.042031523642729475	-0.042031523642729475	-0.04938271604938143	-0.05517241379310436	-0.05517241379310436	-0.08026755852842828	-0.05517241379310436	-0.042031523642729475	-0.06694560669455976	0.04090267983074683	0.0690817186183656	-0.042031523642729475	-0.05985037406483844	0.026717557251907997	0.03344481605351167	-0.04938271604938143	-0.0824742268041236	-0.042031523642729475	-0.05985037406483844	0.0690817186183656	-0.05517241379310436	0.09486931268151043	-0.05985037406483844	0.026717557251907997	0.17931034482758568	0.2556917688266199	-0.08026755852842828	-0.05985037406483844	-0.05517241379310436	0.056362083689154865	-0.04938271604938143	-0.042031523642729475
response to reactive oxygen species	-0.05198019801980114	-0.05411499436302192	-0.042031523642729475	1.0	-0.04938271604938261	-0.04615384615384689	-0.05198019801980114	-0.04615384615384689	-0.05871886120996477	-0.06084243369734729	-0.055900621118011376	-0.055900621118011376	-0.055900621118011376	-0.06171932402645141	-0.03658536585365846	-0.05871886120996477	-0.04615384615384689	-0.06319947333772165	-0.03658536585365846	-0.042031523642729475	0.21538461538461487	-0.042031523642729475	-0.05198019801980114	0.04961565338923859	0.053180021559468056	0.015444015444014686	0.015444015444014686	-0.062499999999999827	-0.04938271604938261	0.2556917688266199	-0.06492027334851935	-0.04615384615384689	-0.04615384615384689	-0.04938271604938261	0.6502057613168725	-0.062499999999999827	-0.03658536585365846	-0.04938271604938261	-0.06171932402645141	-0.055900621118011376	0.04255319148936117	0.04255319148936117	0.04871626069782761	0.06318883174136598	0.41700960219478833	-0.04938271604938261	-0.04615384615384689	-0.06492027334851935	-0.05871886120996477	-0.05198019801980114	-0.03658536585365846	-0.03658536585365846	-0.042031523642729475	-0.03658536585365846	-0.03658536585365846	0.04255319148936117	-0.06171932402645141	0.24377224199288308	0.13754227733934504	-0.04938271604938261	-0.04938271604938261	-0.03658536585365846	-0.042031523642729475	-0.06440071556350609	-0.03658536585365846	-0.042031523642729475	-0.042031523642729475	0.30894308943089327	-0.03658536585365846	-0.042031523642729475	-0.04615384615384689	-0.04615384615384689	0.05555555555555531	0.21538461538461487	0.30894308943089327	-0.05411499436302192	-0.06171932402645141	0.09252669039145826	0.30894308943089327	-0.04938271604938261	-0.06319947333772165	-0.062499999999999827	-0.042031523642729475	-0.06382978723404219	-0.03658536585365846	0.18381344307270167	-0.05871886120996477	-0.04615384615384689	0.29606625258799213	-0.04938271604938261	0.2725477287689272	0.21538461538461487	0.30894308943089327	-0.062499999999999827	0.41700960219478833	-0.04615384615384689	-0.06756171502815078	-0.042031523642729475	-0.03658536585365846
fungal-type vacuole membrane	-0.08227228207639603	-0.08775137111517292	-0.05985037406483844	-0.04938271604938261	1.0	-0.06857142857142774	-0.08227228207639603	-0.06857142857142774	-0.1005331302361005	-0.10692254969156968	-0.09254498714652853	-0.09254498714652853	-0.09254498714652853	-0.1096605744125325	-0.04938271604938261	0.1584158415841582	0.12571428571428572	-0.11442193087008348	-0.04938271604938261	0.1521197007481286	-0.06857142857142774	-0.05985037406483844	-0.08227228207639603	-0.13566289825282654	-0.13492621222768802	-0.12608497030607602	-0.12608497030607602	0.2056074766355141	-0.07594936708860645	-0.05985037406483844	0.14865577227200838	-0.06857142857142774	0.12571428571428572	0.10337552742615992	-0.07594936708860645	0.2056074766355141	0.18381344307270167	0.2827004219409281	-0.1096605744125325	-0.09254498714652853	-0.11650485436893238	-0.11650485436893238	-0.11442193087008348	-0.1096605744125325	-0.07594936708860645	-0.07594936708860645	-0.06857142857142774	0.05904059040590427	0.028941355674028536	0.08423114593535733	-0.04938271604938261	-0.04938271604938261	-0.05985037406483844	-0.04938271604938261	0.41700960219478833	-0.11650485436893238	0.11227154046997374	-0.1005331302361005	-0.08775137111517292	0.10337552742615992	-0.07594936708860645	0.18381344307270167	-0.05985037406483844	0.16118421052631593	0.18381344307270167	-0.05985037406483844	-0.05985037406483844	-0.04938271604938261	-0.04938271604938261	-0.05985037406483844	-0.06857142857142774	-0.06857142857142774	-0.11214953271028005	-0.06857142857142774	-0.04938271604938261	-0.08775137111517292	-0.1096605744125325	-0.1005331302361005	-0.04938271604938261	0.10337552742615992	-0.11442193087008348	-0.11214953271028005	-0.05985037406483844	-0.11650485436893238	-0.04938271604938261	-0.07594936708860645	0.028941355674028536	0.12571428571428572	-0.09254498714652853	-0.07594936708860645	-0.11442193087008348	-0.06857142857142774	-0.04938271604938261	0.2056074766355141	-0.07594936708860645	-0.06857142857142774	0.29401993355481704	-0.05985037406483844	-0.04938271604938261
carbon catabolite regulation of transcription from RNA polymerase II promoter	0.2842105263157902	-0.07804878048780448	-0.05517241379310436	-0.04615384615384689	-0.06857142857142774	1.0	-0.07368421052631516	-0.062500000000001	0.3199999999999998	0.271428571428571	0.38181818181818183	0.38181818181818183	0.38181818181818183	0.25084745762711824	-0.04615384615384689	0.18400000000000027	0.1499999999999994	-0.09846153846153795	-0.04615384615384689	-0.05517241379310436	0.3624999999999998	-0.05517241379310436	-0.07368421052631516	0.17931034482758623	0.18761061946902657	0.2883720930232557	0.2883720930232557	0.12258064516129015	-0.06857142857142774	-0.05517241379310436	0.08108108108108145	-0.062500000000001	-0.062500000000001	-0.06857142857142774	-0.06857142857142774	0.12258064516129015	-0.04615384615384689	-0.06857142857142774	0.36610169491525435	-0.08181818181818161	0.20000000000000018	0.10000000000000052	0.21538461538461562	0.13559322033898302	-0.06857142857142774	0.5142857142857145	0.5749999999999992	-0.10270270270270253	0.18400000000000027	-0.07368421052631516	-0.04615384615384689	-0.04615384615384689	-0.05517241379310436	-0.04615384615384689	-0.04615384615384689	0.20000000000000018	0.13559322033898302	0.5920000000000001	0.7512195121951222	-0.06857142857142774	0.12571428571428572	0.21538461538461487	0.41379310344827563	0.09014084507042297	0.21538461538461487	0.41379310344827563	-0.05517241379310436	0.21538461538461487	0.21538461538461487	0.41379310344827563	-0.062500000000001	-0.062500000000001	0.23225806451612863	-0.062500000000001	-0.04615384615384689	0.08780487804878094	-0.09491525423728854	0.18400000000000027	0.47692307692307717	0.320000000000001	0.21538461538461562	0.23225806451612863	0.6482758620689653	0.30000000000000016	-0.04615384615384689	0.12571428571428572	-0.08800000000000008	-0.062500000000001	0.07272727272727306	-0.06857142857142774	0.424615384615385	-0.062500000000001	-0.04615384615384689	0.12258064516129015	-0.06857142857142774	-0.062500000000001	0.10526315789473645	0.6482758620689653	-0.04615384615384689
nuclear chromatin	-0.08974358974359013	-0.09630266552020675	-0.06370875995449499	-0.05198019801980114	-0.08227228207639603	-0.07368421052631516	1.0	0.8210526315789474	0.011627906976743901	-0.11989459815546762	-0.1021069692058344	0.035656401944895035	-0.1021069692058344	0.0906230333543107	-0.05198019801980114	-0.11191860465116261	-0.07368421052631516	-0.12940496822645872	-0.05198019801980114	-0.06370875995449499	-0.07368421052631516	-0.06370875995449499	0.8443223443223443	0.2477876106194692	0.2588071154516916	0.00807899461400357	0.00807899461400357	-0.12650602409638612	-0.08227228207639603	-0.06370875995449499	-0.13683127572016474	-0.07368421052631516	-0.07368421052631516	-0.08227228207639603	-0.08227228207639603	-0.12650602409638612	-0.05198019801980114	-0.08227228207639603	-0.016362492133417592	-0.1021069692058344	-0.03773584905660372	0.15094339622641492	-0.031195840554592638	0.1976085588420389	-0.08227228207639603	-0.08227228207639603	-0.07368421052631516	-0.13683127572016474	-0.11191860465116261	-0.08974358974359013	-0.05198019801980114	-0.05198019801980114	-0.06370875995449499	-0.05198019801980114	-0.05198019801980114	-0.03773584905660372	-0.1233480176211459	-0.11191860465116261	-0.09630266552020675	-0.08227228207639603	-0.08227228207639603	-0.05198019801980114	-0.06370875995449499	-0.13454351308061946	-0.05198019801980114	-0.06370875995449499	-0.06370875995449499	-0.05198019801980114	-0.05198019801980114	-0.06370875995449499	0.8210526315789474	-0.07368421052631516	0.0783132530120484	-0.07368421052631516	-0.05198019801980114	-0.09630266552020675	-0.1233480176211459	-0.11191860465116261	-0.05198019801980114	-0.08227228207639603	-0.031195840554592638	-0.02409638554216855	-0.06370875995449499	-0.03773584905660372	0.15841584158415845	0.08423114593535733	-0.11191860465116261	-0.07368421052631516	0.035656401944895035	0.7502448579823703	-0.12940496822645872	-0.07368421052631516	-0.05198019801980114	-0.12650602409638612	0.08423114593535733	-0.07368421052631516	-0.14911921343711623	-0.06370875995449499	-0.05198019801980114
Swr1 complex	-0.07368421052631516	-0.07804878048780448	-0.05517241379310436	-0.04615384615384689	-0.06857142857142774	-0.062500000000001	0.8210526315789474	1.0	-0.08800000000000008	-0.09285714285714315	-0.08181818181818161	-0.08181818181818161	-0.08181818181818161	-0.09491525423728854	-0.04615384615384689	-0.08800000000000008	-0.062500000000001	-0.09846153846153795	-0.04615384615384689	-0.05517241379310436	-0.062500000000001	-0.05517241379310436	0.8210526315789474	0.17931034482758623	0.18761061946902657	-0.10697674418604665	-0.10697674418604665	-0.09677419354838757	-0.06857142857142774	-0.05517241379310436	-0.10270270270270253	-0.062500000000001	-0.062500000000001	-0.06857142857142774	-0.06857142857142774	-0.09677419354838757	-0.04615384615384689	-0.06857142857142774	-0.09491525423728854	-0.08181818181818161	-0.09999999999999962	0.0	-0.09846153846153795	0.020338983050847224	-0.06857142857142774	-0.06857142857142774	-0.062500000000001	-0.10270270270270253	-0.08800000000000008	-0.07368421052631516	-0.04615384615384689	-0.04615384615384689	-0.05517241379310436	-0.04615384615384689	-0.04615384615384689	-0.09999999999999962	-0.09491525423728854	-0.08800000000000008	-0.07804878048780448	-0.06857142857142774	-0.06857142857142774	-0.04615384615384689	-0.05517241379310436	-0.10140845070422505	-0.04615384615384689	-0.05517241379310436	-0.05517241379310436	-0.04615384615384689	-0.04615384615384689	-0.05517241379310436	1.0	-0.062500000000001	-0.09677419354838757	-0.062500000000001	-0.04615384615384689	-0.07804878048780448	-0.09491525423728854	-0.08800000000000008	-0.04615384615384689	-0.06857142857142774	-0.09846153846153795	-0.09677419354838757	-0.05517241379310436	-0.09999999999999962	-0.04615384615384689	-0.06857142857142774	-0.08800000000000008	-0.062500000000001	-0.08181818181818161	0.9028571428571432	-0.09846153846153795	-0.062500000000001	-0.04615384615384689	-0.09677419354838757	-0.06857142857142774	-0.062500000000001	-0.10947368421052667	-0.05517241379310436	-0.04615384615384689
RNA polymerase II regulatory region sequence-specific DNA binding	0.25872093023255804	-0.12230715774843677	-0.07413647851726989	-0.05871886120996477	-0.1005331302361005	0.3199999999999998	0.011627906976743901	-0.08800000000000008	1.0	0.7092360319270236	0.7736351531291611	0.8868175765645804	0.8868175765645804	0.8596587782058338	-0.05871886120996477	-0.14864864864864868	-0.08800000000000008	-0.18116314976839898	-0.05871886120996477	-0.07413647851726989	0.18400000000000027	-0.07413647851726989	0.011627906976743901	0.3795620437956204	0.3951202982039985	0.5721476510067112	0.5721476510067112	-0.17553191489361716	-0.1005331302361005	-0.07413647851726989	-0.196060037523452	-0.08800000000000008	-0.08800000000000008	-0.1005331302361005	0.028941355674028536	-0.17553191489361716	-0.05871886120996477	-0.1005331302361005	0.5789763346175015	-0.1318242343541934	0.6610169491525425	0.15254237288135558	0.6937725167267116	0.20473307649972503	-0.1005331302361005	0.028941355674028536	0.04799999999999945	-0.196060037523452	-0.14864864864864868	-0.11191860465116261	-0.05871886120996477	-0.05871886120996477	-0.07413647851726989	-0.05871886120996477	-0.05871886120996477	0.6610169491525425	-0.1695101816180515	0.37346437346437394	0.4683808200138985	-0.1005331302361005	-0.1005331302361005	0.09252669039145826	-0.07413647851726989	-0.10923151280812048	-0.05871886120996477	-0.07413647851726989	-0.07413647851726989	-0.05871886120996477	-0.05871886120996477	-0.07413647851726989	-0.08800000000000008	-0.08800000000000008	0.8191489361702126	0.3199999999999998	0.09252669039145826	-0.0041695621959701576	-0.1695101816180515	0.060196560196560875	-0.05871886120996477	-0.1005331302361005	0.6937725167267116	0.7287234042553192	0.49873631002527424	0.4915254237288137	0.09252669039145826	0.028941355674028536	-0.14864864864864868	-0.08800000000000008	0.09454061251664501	-0.1005331302361005	0.4312918167781782	-0.08800000000000008	-0.05871886120996477	-0.17553191489361716	0.028941355674028536	-0.08800000000000008	-0.15623785464438397	0.49873631002527424	-0.05871886120996477
RNA polymerase II transcription factor activity, sequence-specific DNA binding	0.21607378129117216	-0.131896005072923	0.04921700223713615	-0.06084243369734729	-0.10692254969156968	0.271428571428571	-0.11989459815546762	-0.09285714285714315	0.7092360319270236	1.0	0.7921760391198043	0.6882640586797067	0.7921760391198043	0.6038322112894873	-0.06084243369734729	-0.16305587229190457	-0.09285714285714315	-0.2030258662762319	-0.06084243369734729	-0.07755406413124587	0.15000000000000002	-0.07755406413124587	-0.11989459815546762	0.4429882044560943	0.4604076177748079	0.6547522339561331	0.6547522339561331	-0.19597989949748715	-0.10692254969156968	-0.07755406413124587	-0.22192273135669374	-0.09285714285714315	-0.09285714285714315	-0.10692254969156968	0.1261137765592869	-0.19597989949748715	-0.06084243369734729	-0.10692254969156968	0.7799067840497151	-0.1430317848410754	0.6774193548387095	0.03225806451612863	0.7096144460712542	0.07560849300880372	-0.10692254969156968	0.009595613433858296	0.028571428571427884	-0.22192273135669374	-0.16305587229190457	-0.11989459815546762	-0.06084243369734729	-0.06084243369734729	-0.07755406413124587	-0.06084243369734729	-0.06084243369734729	0.6774193548387095	-0.18850336613153795	0.22462941847206397	0.2993024730500954	-0.10692254969156968	-0.10692254969156968	0.07176287051482065	-0.07755406413124587	-0.13751730502999593	-0.06084243369734729	-0.07755406413124587	-0.07755406413124587	-0.06084243369734729	-0.06084243369734729	-0.07755406413124587	-0.09285714285714315	-0.09285714285714315	0.6582914572864323	0.3928571428571426	0.20436817472698984	-0.02409638554216831	-0.18850336613153795	0.03078677309007975	-0.06084243369734729	-0.10692254969156968	0.7096144460712542	0.7437185929648241	0.30275913497389967	0.6774193548387095	-0.06084243369734729	-0.10692254969156968	-0.16305587229190457	-0.09285714285714315	0.06479217603912035	-0.10692254969156968	0.4607125427037581	0.15000000000000002	0.20436817472698984	-0.19597989949748715	0.009595613433858296	-0.09285714285714315	-0.19173929518757135	0.4295302013422814	-0.06084243369734729
