NAME	ClusterOrigin	EntrezGeneID	Aliases	GeneType	Origin	Functions
AAC3	Cluster#1	852380	[ANC3, YBR085W]	protein_coding	Initial Gene From Selection	mitochondrial part | mitochondrion | organelle membrane
ADR1	Cluster#1	851802	[YDR216W]	protein_coding	Initial Gene From Selection	regulation of cellular ketone metabolic process by regulation of transcription from RNA polymerase II promoter | regulation of cellular ketone metabolic process | positive regulation of lipid metabolic process | positive regulation of cellular catabolic process
AKR1	Cluster#1	851857	[YDR264C]	protein_coding	Initial Gene From Selection	zinc ion binding | transition metal ion binding | cellular response to chemical stimulus
ALG9	Cluster#1	855502	[YNL219C]	protein_coding	Initial Gene From Selection	mannosyltransferase activity | protein glycosylation | transferase activity, transferring glycosyl groups
ANP1	Cluster#1	856675	[GEM3, MNN8, YEL036C]	protein_coding	Initial Gene From Selection	integral component of Golgi membrane | mannosyltransferase activity | protein glycosylation
APQ12	Cluster#1	854771	[YIL040W]	protein_coding	Initial Gene From Selection	chemical homeostasis | organelle membrane | gene expression
ARF1	Cluster#1	851335	[YDL192W]	protein_coding	Initial Gene From Selection	regulation of cellular process | cytoplasmic part
ARP6	Cluster#1	850774	[YLR085C]	protein_coding	Initial Gene From Selection	regulation of transcription, DNA-templated | transcription, DNA-templated | RNA biosynthetic process
ATP17	Cluster#1	851983	[YDR377W]	protein_coding	Initial Gene From Selection	proton-transporting two-sector ATPase complex | cation-transporting ATPase activity | mitochondrial membrane part
ATP4	Cluster#1	856027	[LPF7, YPL078C]	protein_coding	Initial Gene From Selection	proton-transporting two-sector ATPase complex | cation-transporting ATPase activity | mitochondrial membrane part
ATX1	Cluster#1	855462	[YNL259C]	protein_coding	Initial Gene From Selection	cellular metal ion homeostasis | cellular response to oxidative stress | cellular ion homeostasis
