NAME	ClusterOrigin	EntrezGeneID	Aliases	GeneType	Origin	Functions
ARL1	Cluster#1	852462	[DLP2, YBR164C]	protein_coding	Initial Gene From Selection	protein localization to Golgi apparatus | trans-Golgi network | intra-Golgi vesicle-mediated transport
ARP6	Cluster#1	850774	[YLR085C]	protein_coding	Initial Gene From Selection	Swr1 complex | histone exchange | SWI/SNF superfamily-type complex
BEM1	Cluster#1	852499	[SRO1, YBR200W]	protein_coding	Initial Gene From Selection	cellular response to chemical stimulus
BEM2	Cluster#1	856899	[IPL2, SUP9, TSL1, YER155C]	protein_coding	Initial Gene From Selection	negative regulation of intracellular signal transduction | positive regulation of GTPase activity | regulation of cell communication
BIK1	Cluster#1	850328	[ARM5, PAC14, YCL029C]	protein_coding	Initial Gene From Selection	nuclear migration along microtubule | protein homodimerization activity | microtubule binding
BSD2	Cluster#1	852593	[YBR290W]	protein_coding	Initial Gene From Selection	fungal-type vacuole membrane | vacuolar transport | protein targeting
CAT8	Cluster#1	855323	[DIL1, MSP8, YMR280C]	protein_coding	Initial Gene From Selection	carbon catabolite activation of transcription | carbon catabolite regulation of transcription from RNA polymerase II promoter | positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus
CDC50	Cluster#1	850456	[YCR094W]	protein_coding	Initial Gene From Selection	trans-Golgi network | late endosome | organophosphate ester transport
CHO1	Cluster#1	856748	[PSS1, YER026C]	protein_coding	Initial Gene From Selection	lipid biosynthetic process | bounding membrane of organelle
CIK1	Cluster#1	855238	[YMR198W]	protein_coding	Initial Gene From Selection	nuclear migration along microtubule | protein heterodimerization activity | microtubule binding
COG5	Cluster#1	855676	[API4, COD4, YNL051W]	protein_coding	Initial Gene From Selection	Golgi transport complex | intra-Golgi vesicle-mediated transport | CVT pathway
COG7	Cluster#1	852879	[COD5, YGL005C]	protein_coding	Initial Gene From Selection	Golgi transport complex | intra-Golgi vesicle-mediated transport | CVT pathway
COG8	Cluster#1	854904	[DOR1, YML071C]	protein_coding	Initial Gene From Selection	Golgi transport complex | intra-Golgi vesicle-mediated transport | CVT pathway
ELM1	Cluster#1	853818	[LDB9, YKL048C]	protein_coding	Initial Gene From Selection	mitotic cytokinesis | monosaccharide metabolic process | single-organism carbohydrate metabolic process
END3	Cluster#1	855640	[YNL084C]	protein_coding	Initial Gene From Selection	mitotic cytokinesis | cytoskeletal protein binding | endocytosis
ERG2	Cluster#1	855242	[END11, YMR202W]	protein_coding	Initial Gene From Selection	ergosterol biosynthetic process | lipid biosynthetic process
ERG24	Cluster#1	855441	[YNL280C]	protein_coding	Initial Gene From Selection	ergosterol biosynthetic process | integral component of endoplasmic reticulum membrane | lipid biosynthetic process
ERG3	Cluster#1	850745	[PSO6, SYR1, YLR056W]	protein_coding	Initial Gene From Selection	ergosterol biosynthetic process | iron ion binding | lipid biosynthetic process
ERG4	Cluster#1	852872	[YGL012W]	protein_coding	Initial Gene From Selection	ergosterol biosynthetic process | integral component of endoplasmic reticulum membrane | lipid biosynthetic process
ERG5	Cluster#1	855029	[CYP61, YMR015C]	protein_coding	Initial Gene From Selection	ergosterol biosynthetic process | iron ion binding | lipid biosynthetic process
ERG6	Cluster#1	855003	[ISE1, LIS1, SED6, VID1, YML008C]	protein_coding	Initial Gene From Selection	ergosterol biosynthetic process | lipid biosynthetic process
ERV14	Cluster#1	852826	[YGL054C]	protein_coding	Initial Gene From Selection	mitotic cytokinesis | regulation of cell communication | Golgi membrane
GAL4	Cluster#1	855828	[GAL81, YPL248C]	protein_coding	Initial Gene From Selection	carbon catabolite activation of transcription | carbon catabolite regulation of transcription from RNA polymerase II promoter | positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus
GAS1	Cluster#1	855355	[CWH52, GGP1, YMR307W]	protein_coding	Initial Gene From Selection	cellular glucan metabolic process | cellular carbohydrate metabolic process | single-organism carbohydrate metabolic process
GCN2	Cluster#1	851877	[AAS1, AAS102, NDR2, YDR283C]	protein_coding	Initial Gene From Selection	cellular response to pH | protein homodimerization activity | response to reactive oxygen species
GET2	Cluster#1	856817	[HUR2, RMD7, YER083C]	protein_coding	Initial Gene From Selection	establishment of protein localization to membrane | Golgi membrane | Golgi vesicle transport
GPH1	Cluster#1	856289	[YPR160W]	protein_coding	Initial Gene From Selection	cellular glucan metabolic process | cellular carbohydrate metabolic process | single-organism carbohydrate metabolic process
GYP1	Cluster#1	854236	[YOR070C, YOR29-21]	protein_coding	Initial Gene From Selection	Rab GTPase binding | organelle subcompartment | positive regulation of GTPase activity
GZF3	Cluster#1	853334	[DEH1, NIL2, YJL110C]	protein_coding	Initial Gene From Selection	maintenance of protein location in cell | cellular response to nutrient | transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding
